Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
time,Time,string,8,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
logid,Log ID,string,10,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
type,Log Type,string,16,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
subtype,Log Subtype,string,20,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
level,Log Level,string,11,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
devid,Device ID,string,16,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
vd,Virtual Domain Name,string,32,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
eventtime,Event time,uint64,20,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
tz,Time zone,string,5,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
logdesc,Log Description,string,4096,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
user,User name of authenticated user,string,256,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
ui,User Interface,string,64,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
action,Policy Action,string,65,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
msg,Log Message,string,4096,32545 - LOG_ID_SYS_RESTART,32545,LOG_ID_SYS_RESTART,Scheduled daily reboot started,Event,system,Critical,7.4.0
