Log Field Name,Data Type
accessctrl,string
accessproxy,string
action,string
agent,string
ap,string
app,string
appact,string
appcat,string
appid,number
applist,string
apprisk,string
apsn,string
authserver,string
centralnatid,number
channel,number
clientdeviceid,string
clientdevicemanageable,string
clientdeviceowner,string
clientdevicetags,string
comment,string
craction,number
crlevel,string
crscore,number
date,string
devid,string
devtype,string
dstauthserver,string
dstcity,string
dstcountry,string
dstdevtype,string
dstfamily,string
dsthwvendor,string
dsthwversion,string
dstinetsvc,string
dstintf,string
dstintfrole,string
dstip,ip
dstmac,string
dstname,string
dstosname,string
dstport,number
dstregion,string
dstreputation,number
dstserver,number
dstssid,string
dstswversion,string
dstthreatfeed,string
dstunauthuser,string
dstunauthusersource,string
dstuser,string
dstuuid,string
duration,number
emsconnection,string
eventtime,number
fctuid,string
fwdsrv,string
gatewayid,number
group,string
identifier,number
lanin,number
lanout,number
level,string
logid,string
masterdstmac,string
mastersrcmac,string
msg,string
osname,string
pdstport,number
policyid,number
policymode,string
policyname,string
policytype,string
poluuid,string
proto,number
proxyapptype,string
psrcport,number
radioband,string
rcvdbyte,number
rcvddelta,number
rcvdpkt,number
realserverid,number
saasname,string
sentbyte,number
sentdelta,number
sentpkt,number
service,string
sessionid,number
shaperdroprcvdbyte,number
shaperdropsentbyte,number
shaperperipdropbyte,number
shaperperipname,string
shaperrcvdname,string
shapersentname,string
shapingpolicyid,number
shapingpolicyname,string
signal,number
snr,number
srccity,string
srccountry,string
srcdomain,string
srcfamily,string
srchwvendor,string
srchwversion,string
srcinetsvc,string
srcintf,string
srcintfrole,string
srcip,ip
srcmac,string
srcmacvendor,string
srcname,string
srcport,number
srcregion,string
srcreputation,number
srcserver,number
srcssid,string
srcswversion,string
srcthreatfeed,string
srcuuid,string
sslaction,string
subtype,string
time,string
trandisp,string
tranip,ip
tranport,number
transip,ip
transport,number
tunnelid,number
type,string
tz,string
unauthuser,string
unauthusersource,string
url,string
user,string
utmaction,string
vd,string
vip,string
vpntype,string
vrf,number
vwlid,number
vwlname,string
vwlquality,string
vwlservice,string
vwpvlanid,number
wanin,number
wanoptapptype,string
wanout,number
countapp,number
countav,number
countcifs,number
countdlp,number
countdns,number
countemail,number
countff,number
counticap,number
countips,number
countsctpf,number
countssh,number
countssl,number
countwaf,number
countweb,number
replydstintf,string
replysrcintf,string
countcasb,number
countvpatch,number
clientcert,string
clientdeviceems,string
durationdelta,number
rcvdpktdelta,number
sentpktdelta,number
srcremote,ip
