Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
date,Date,string,10,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
devid,Device ID,string,16,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
eventtime,Event time,uint64,20,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
level,Log Level,string,11,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
logdesc,Log Description,string,4096,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
logid,Log ID,string,10,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
msg,Log Message,string,4096,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
status,Status,string,23,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
subtype,Log Subtype,string,20,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
time,Time,string,8,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
type,Log Type,string,16,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
tz,Time zone,string,5,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
ui,User Interface,string,64,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
user,User name of authenticated user,string,256,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
vd,Virtual Domain Name,string,32,41009 - LOG_ID_UPD_DB_SIGN_INVALID,41009,LOG_ID_UPD_DB_SIGN_INVALID,FortiGate database signature invalid,Event,SYSTEM,Critical,7.2.0
