Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
action,Policy Action,string,65,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
date,Date,string,10,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
devid,Device ID,string,16,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
eventtime,Event time,uint64,20,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
level,Log Level,string,11,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
logdesc,Log Description,string,4096,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
logid,Log ID,string,10,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
mac,MAC Address,string,17,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
msg,Log Message,string,4096,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
service,Name of Service,string,64,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
srcip,Source IP,ip,39,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
src_int,Source Interface,string,64,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
subtype,Log Subtype,string,20,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
time,Time,string,8,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
type,Log Type,string,16,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
tz,Time zone,string,5,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
vd,Virtual Domain Name,string,32,51000 - LOG_ID_NB_TBL_CHG,51000,LOG_ID_NB_TBL_CHG,Neighbor table changed,Event,ROUTER,Information,7.2.0
