Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43562 - LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,43562,LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,Wireless system hostapd down,Event,wireless,Notice,7.4.5
time,Time,string,8,43562 - LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,43562,LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,Wireless system hostapd down,Event,wireless,Notice,7.4.5
logid,Log ID,string,10,43562 - LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,43562,LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,Wireless system hostapd down,Event,wireless,Notice,7.4.5
type,Log Type,string,16,43562 - LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,43562,LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,Wireless system hostapd down,Event,wireless,Notice,7.4.5
subtype,Log Subtype,string,20,43562 - LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,43562,LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,Wireless system hostapd down,Event,wireless,Notice,7.4.5
level,Log Level,string,11,43562 - LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,43562,LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,Wireless system hostapd down,Event,wireless,Notice,7.4.5
devid,Device ID,string,16,43562 - LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,43562,LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,Wireless system hostapd down,Event,wireless,Notice,7.4.5
vd,Virtual Domain Name,string,32,43562 - LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,43562,LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,Wireless system hostapd down,Event,wireless,Notice,7.4.5
eventtime,Event time,uint64,20,43562 - LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,43562,LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,Wireless system hostapd down,Event,wireless,Notice,7.4.5
tz,Time zone,string,5,43562 - LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,43562,LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,Wireless system hostapd down,Event,wireless,Notice,7.4.5
logdesc,Log Description,string,4096,43562 - LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,43562,LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,Wireless system hostapd down,Event,wireless,Notice,7.4.5
action,Policy Action,string,65,43562 - LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,43562,LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,Wireless system hostapd down,Event,wireless,Notice,7.4.5
msg,Log Message,string,4096,43562 - LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,43562,LOG_ID_EVENT_WIRELESS_SYS_AC_HOSTAPD_DOWN,Wireless system hostapd down,Event,wireless,Notice,7.4.5
