Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,29013 - LOG_ID_PPPD_START,29013,LOG_ID_PPPD_START,PPP daemon started,Event,system,Notice,7.4.5
time,Time,string,8,29013 - LOG_ID_PPPD_START,29013,LOG_ID_PPPD_START,PPP daemon started,Event,system,Notice,7.4.5
logid,Log ID,string,10,29013 - LOG_ID_PPPD_START,29013,LOG_ID_PPPD_START,PPP daemon started,Event,system,Notice,7.4.5
type,Log Type,string,16,29013 - LOG_ID_PPPD_START,29013,LOG_ID_PPPD_START,PPP daemon started,Event,system,Notice,7.4.5
subtype,Log Subtype,string,20,29013 - LOG_ID_PPPD_START,29013,LOG_ID_PPPD_START,PPP daemon started,Event,system,Notice,7.4.5
level,Log Level,string,11,29013 - LOG_ID_PPPD_START,29013,LOG_ID_PPPD_START,PPP daemon started,Event,system,Notice,7.4.5
devid,Device ID,string,16,29013 - LOG_ID_PPPD_START,29013,LOG_ID_PPPD_START,PPP daemon started,Event,system,Notice,7.4.5
vd,Virtual Domain Name,string,32,29013 - LOG_ID_PPPD_START,29013,LOG_ID_PPPD_START,PPP daemon started,Event,system,Notice,7.4.5
eventtime,Event time,uint64,20,29013 - LOG_ID_PPPD_START,29013,LOG_ID_PPPD_START,PPP daemon started,Event,system,Notice,7.4.5
tz,Time zone,string,5,29013 - LOG_ID_PPPD_START,29013,LOG_ID_PPPD_START,PPP daemon started,Event,system,Notice,7.4.5
logdesc,Log Description,string,4096,29013 - LOG_ID_PPPD_START,29013,LOG_ID_PPPD_START,PPP daemon started,Event,system,Notice,7.4.5
msg,Log Message,string,4096,29013 - LOG_ID_PPPD_START,29013,LOG_ID_PPPD_START,PPP daemon started,Event,system,Notice,7.4.5
