Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,35014 - LOG_ID_HA_RESET_UPTIME,35014,LOG_ID_HA_RESET_UPTIME,HA reset uptime,Event,ha,Information,7.4.5
time,Time,string,8,35014 - LOG_ID_HA_RESET_UPTIME,35014,LOG_ID_HA_RESET_UPTIME,HA reset uptime,Event,ha,Information,7.4.5
logid,Log ID,string,10,35014 - LOG_ID_HA_RESET_UPTIME,35014,LOG_ID_HA_RESET_UPTIME,HA reset uptime,Event,ha,Information,7.4.5
type,Log Type,string,16,35014 - LOG_ID_HA_RESET_UPTIME,35014,LOG_ID_HA_RESET_UPTIME,HA reset uptime,Event,ha,Information,7.4.5
subtype,Log Subtype,string,20,35014 - LOG_ID_HA_RESET_UPTIME,35014,LOG_ID_HA_RESET_UPTIME,HA reset uptime,Event,ha,Information,7.4.5
level,Log Level,string,11,35014 - LOG_ID_HA_RESET_UPTIME,35014,LOG_ID_HA_RESET_UPTIME,HA reset uptime,Event,ha,Information,7.4.5
devid,Device ID,string,16,35014 - LOG_ID_HA_RESET_UPTIME,35014,LOG_ID_HA_RESET_UPTIME,HA reset uptime,Event,ha,Information,7.4.5
vd,Virtual Domain Name,string,32,35014 - LOG_ID_HA_RESET_UPTIME,35014,LOG_ID_HA_RESET_UPTIME,HA reset uptime,Event,ha,Information,7.4.5
eventtime,Event time,uint64,20,35014 - LOG_ID_HA_RESET_UPTIME,35014,LOG_ID_HA_RESET_UPTIME,HA reset uptime,Event,ha,Information,7.4.5
tz,Time zone,string,5,35014 - LOG_ID_HA_RESET_UPTIME,35014,LOG_ID_HA_RESET_UPTIME,HA reset uptime,Event,ha,Information,7.4.5
logdesc,Log Description,string,4096,35014 - LOG_ID_HA_RESET_UPTIME,35014,LOG_ID_HA_RESET_UPTIME,HA reset uptime,Event,ha,Information,7.4.5
msg,Log Message,string,4096,35014 - LOG_ID_HA_RESET_UPTIME,35014,LOG_ID_HA_RESET_UPTIME,HA reset uptime,Event,ha,Information,7.4.5
user,User name of authenticated user,string,256,35014 - LOG_ID_HA_RESET_UPTIME,35014,LOG_ID_HA_RESET_UPTIME,HA reset uptime,Event,ha,Information,7.4.5
ui,User Interface,string,64,35014 - LOG_ID_HA_RESET_UPTIME,35014,LOG_ID_HA_RESET_UPTIME,HA reset uptime,Event,ha,Information,7.4.5
