Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
interface,Interface,string,32,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.2.11
sn,Serial Number,string,64,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.2.11
msg,Log Message,string,4096,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.2.11
logdesc,Log Description,string,4096,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.2.11
tz,Time zone,string,5,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.2.11
eventtime,Event time,uint64,20,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.2.11
vd,Virtual Domain Name,string,32,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.2.11
devid,Device ID,string,16,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.2.11
level,Log Level,string,11,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.2.11
subtype,Log Subtype,string,20,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.2.11
type,Log Type,string,16,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.2.11
logid,Log ID,string,10,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.2.11
time,Time,string,8,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.2.11
date,Date,string,10,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.2.11
