Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
fctemsname,,string,36,45121 - LOG_ID_EC_EMS_WS_NOTIFICATION,45121,LOG_ID_EC_EMS_WS_NOTIFICATION,EMS WebSocket notification,Event,endpoint,Notice,7.2.11
fctemssn,,string,16,45121 - LOG_ID_EC_EMS_WS_NOTIFICATION,45121,LOG_ID_EC_EMS_WS_NOTIFICATION,EMS WebSocket notification,Event,endpoint,Notice,7.2.11
msg,Log Message,string,4096,45121 - LOG_ID_EC_EMS_WS_NOTIFICATION,45121,LOG_ID_EC_EMS_WS_NOTIFICATION,EMS WebSocket notification,Event,endpoint,Notice,7.2.11
logdesc,Log Description,string,4096,45121 - LOG_ID_EC_EMS_WS_NOTIFICATION,45121,LOG_ID_EC_EMS_WS_NOTIFICATION,EMS WebSocket notification,Event,endpoint,Notice,7.2.11
tz,Time zone,string,5,45121 - LOG_ID_EC_EMS_WS_NOTIFICATION,45121,LOG_ID_EC_EMS_WS_NOTIFICATION,EMS WebSocket notification,Event,endpoint,Notice,7.2.11
eventtime,Event time,uint64,20,45121 - LOG_ID_EC_EMS_WS_NOTIFICATION,45121,LOG_ID_EC_EMS_WS_NOTIFICATION,EMS WebSocket notification,Event,endpoint,Notice,7.2.11
vd,Virtual Domain Name,string,32,45121 - LOG_ID_EC_EMS_WS_NOTIFICATION,45121,LOG_ID_EC_EMS_WS_NOTIFICATION,EMS WebSocket notification,Event,endpoint,Notice,7.2.11
devid,Device ID,string,16,45121 - LOG_ID_EC_EMS_WS_NOTIFICATION,45121,LOG_ID_EC_EMS_WS_NOTIFICATION,EMS WebSocket notification,Event,endpoint,Notice,7.2.11
level,Log Level,string,11,45121 - LOG_ID_EC_EMS_WS_NOTIFICATION,45121,LOG_ID_EC_EMS_WS_NOTIFICATION,EMS WebSocket notification,Event,endpoint,Notice,7.2.11
subtype,Log Subtype,string,20,45121 - LOG_ID_EC_EMS_WS_NOTIFICATION,45121,LOG_ID_EC_EMS_WS_NOTIFICATION,EMS WebSocket notification,Event,endpoint,Notice,7.2.11
type,Log Type,string,16,45121 - LOG_ID_EC_EMS_WS_NOTIFICATION,45121,LOG_ID_EC_EMS_WS_NOTIFICATION,EMS WebSocket notification,Event,endpoint,Notice,7.2.11
logid,Log ID,string,10,45121 - LOG_ID_EC_EMS_WS_NOTIFICATION,45121,LOG_ID_EC_EMS_WS_NOTIFICATION,EMS WebSocket notification,Event,endpoint,Notice,7.2.11
time,Time,string,8,45121 - LOG_ID_EC_EMS_WS_NOTIFICATION,45121,LOG_ID_EC_EMS_WS_NOTIFICATION,EMS WebSocket notification,Event,endpoint,Notice,7.2.11
date,Date,string,10,45121 - LOG_ID_EC_EMS_WS_NOTIFICATION,45121,LOG_ID_EC_EMS_WS_NOTIFICATION,EMS WebSocket notification,Event,endpoint,Notice,7.2.11
