Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,20028 - LOG_ID_REPORT_RECREATE_DB,20028,LOG_ID_REPORT_RECREATE_DB,Report database recreated,Event,system,Warning,7.2.11
logdesc,Log Description,string,4096,20028 - LOG_ID_REPORT_RECREATE_DB,20028,LOG_ID_REPORT_RECREATE_DB,Report database recreated,Event,system,Warning,7.2.11
tz,Time zone,string,5,20028 - LOG_ID_REPORT_RECREATE_DB,20028,LOG_ID_REPORT_RECREATE_DB,Report database recreated,Event,system,Warning,7.2.11
eventtime,Event time,uint64,20,20028 - LOG_ID_REPORT_RECREATE_DB,20028,LOG_ID_REPORT_RECREATE_DB,Report database recreated,Event,system,Warning,7.2.11
vd,Virtual Domain Name,string,32,20028 - LOG_ID_REPORT_RECREATE_DB,20028,LOG_ID_REPORT_RECREATE_DB,Report database recreated,Event,system,Warning,7.2.11
devid,Device ID,string,16,20028 - LOG_ID_REPORT_RECREATE_DB,20028,LOG_ID_REPORT_RECREATE_DB,Report database recreated,Event,system,Warning,7.2.11
level,Log Level,string,11,20028 - LOG_ID_REPORT_RECREATE_DB,20028,LOG_ID_REPORT_RECREATE_DB,Report database recreated,Event,system,Warning,7.2.11
subtype,Log Subtype,string,20,20028 - LOG_ID_REPORT_RECREATE_DB,20028,LOG_ID_REPORT_RECREATE_DB,Report database recreated,Event,system,Warning,7.2.11
type,Log Type,string,16,20028 - LOG_ID_REPORT_RECREATE_DB,20028,LOG_ID_REPORT_RECREATE_DB,Report database recreated,Event,system,Warning,7.2.11
logid,Log ID,string,10,20028 - LOG_ID_REPORT_RECREATE_DB,20028,LOG_ID_REPORT_RECREATE_DB,Report database recreated,Event,system,Warning,7.2.11
time,Time,string,8,20028 - LOG_ID_REPORT_RECREATE_DB,20028,LOG_ID_REPORT_RECREATE_DB,Report database recreated,Event,system,Warning,7.2.11
date,Date,string,10,20028 - LOG_ID_REPORT_RECREATE_DB,20028,LOG_ID_REPORT_RECREATE_DB,Report database recreated,Event,system,Warning,7.2.11
