Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
time,Time,string,8,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
logid,Log ID,string,10,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
type,Log Type,string,16,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
subtype,Log Subtype,string,20,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
level,Log Level,string,11,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
devid,Device ID,string,16,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
vd,Virtual Domain Name,string,32,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
eventtime,Event time,uint64,20,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
tz,Time zone,string,5,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
logdesc,Log Description,string,4096,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
action,Policy Action,string,65,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
status,Status,string,23,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
msg,Log Message,string,4096,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
server,Server IP Address,string,64,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
port,Port Number,uint16,5,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
vip,Virtual IP,string,64,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
monitor-name,Health Monitor Type,string,35,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
monitor-type,Health Monitor Name,string,32,46006 - LOG_ID_VIP_REAL_SVR_FAIL,46006,LOG_ID_VIP_REAL_SVR_FAIL,VIP real server health check failed,Event,system,Debug,7.2.10
