Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,20124 - LOG_ID_VMLS_LIC_EXPIRE,20124,LOG_ID_VMLS_LIC_EXPIRE,VM-S license expiring,Event,system,Warning,7.2.10
time,Time,string,8,20124 - LOG_ID_VMLS_LIC_EXPIRE,20124,LOG_ID_VMLS_LIC_EXPIRE,VM-S license expiring,Event,system,Warning,7.2.10
logid,Log ID,string,10,20124 - LOG_ID_VMLS_LIC_EXPIRE,20124,LOG_ID_VMLS_LIC_EXPIRE,VM-S license expiring,Event,system,Warning,7.2.10
type,Log Type,string,16,20124 - LOG_ID_VMLS_LIC_EXPIRE,20124,LOG_ID_VMLS_LIC_EXPIRE,VM-S license expiring,Event,system,Warning,7.2.10
subtype,Log Subtype,string,20,20124 - LOG_ID_VMLS_LIC_EXPIRE,20124,LOG_ID_VMLS_LIC_EXPIRE,VM-S license expiring,Event,system,Warning,7.2.10
level,Log Level,string,11,20124 - LOG_ID_VMLS_LIC_EXPIRE,20124,LOG_ID_VMLS_LIC_EXPIRE,VM-S license expiring,Event,system,Warning,7.2.10
devid,Device ID,string,16,20124 - LOG_ID_VMLS_LIC_EXPIRE,20124,LOG_ID_VMLS_LIC_EXPIRE,VM-S license expiring,Event,system,Warning,7.2.10
vd,Virtual Domain Name,string,32,20124 - LOG_ID_VMLS_LIC_EXPIRE,20124,LOG_ID_VMLS_LIC_EXPIRE,VM-S license expiring,Event,system,Warning,7.2.10
eventtime,Event time,uint64,20,20124 - LOG_ID_VMLS_LIC_EXPIRE,20124,LOG_ID_VMLS_LIC_EXPIRE,VM-S license expiring,Event,system,Warning,7.2.10
tz,Time zone,string,5,20124 - LOG_ID_VMLS_LIC_EXPIRE,20124,LOG_ID_VMLS_LIC_EXPIRE,VM-S license expiring,Event,system,Warning,7.2.10
logdesc,Log Description,string,4096,20124 - LOG_ID_VMLS_LIC_EXPIRE,20124,LOG_ID_VMLS_LIC_EXPIRE,VM-S license expiring,Event,system,Warning,7.2.10
msg,Log Message,string,4096,20124 - LOG_ID_VMLS_LIC_EXPIRE,20124,LOG_ID_VMLS_LIC_EXPIRE,VM-S license expiring,Event,system,Warning,7.2.10
