Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22005 - LOG_ID_FAIL_CREATE_SOCKET_RETRY,22005,LOG_ID_FAIL_CREATE_SOCKET_RETRY,Socket creation retry failed,Event,system,Warning,7.2.10
time,Time,string,8,22005 - LOG_ID_FAIL_CREATE_SOCKET_RETRY,22005,LOG_ID_FAIL_CREATE_SOCKET_RETRY,Socket creation retry failed,Event,system,Warning,7.2.10
logid,Log ID,string,10,22005 - LOG_ID_FAIL_CREATE_SOCKET_RETRY,22005,LOG_ID_FAIL_CREATE_SOCKET_RETRY,Socket creation retry failed,Event,system,Warning,7.2.10
type,Log Type,string,16,22005 - LOG_ID_FAIL_CREATE_SOCKET_RETRY,22005,LOG_ID_FAIL_CREATE_SOCKET_RETRY,Socket creation retry failed,Event,system,Warning,7.2.10
subtype,Log Subtype,string,20,22005 - LOG_ID_FAIL_CREATE_SOCKET_RETRY,22005,LOG_ID_FAIL_CREATE_SOCKET_RETRY,Socket creation retry failed,Event,system,Warning,7.2.10
level,Log Level,string,11,22005 - LOG_ID_FAIL_CREATE_SOCKET_RETRY,22005,LOG_ID_FAIL_CREATE_SOCKET_RETRY,Socket creation retry failed,Event,system,Warning,7.2.10
devid,Device ID,string,16,22005 - LOG_ID_FAIL_CREATE_SOCKET_RETRY,22005,LOG_ID_FAIL_CREATE_SOCKET_RETRY,Socket creation retry failed,Event,system,Warning,7.2.10
vd,Virtual Domain Name,string,32,22005 - LOG_ID_FAIL_CREATE_SOCKET_RETRY,22005,LOG_ID_FAIL_CREATE_SOCKET_RETRY,Socket creation retry failed,Event,system,Warning,7.2.10
eventtime,Event time,uint64,20,22005 - LOG_ID_FAIL_CREATE_SOCKET_RETRY,22005,LOG_ID_FAIL_CREATE_SOCKET_RETRY,Socket creation retry failed,Event,system,Warning,7.2.10
tz,Time zone,string,5,22005 - LOG_ID_FAIL_CREATE_SOCKET_RETRY,22005,LOG_ID_FAIL_CREATE_SOCKET_RETRY,Socket creation retry failed,Event,system,Warning,7.2.10
logdesc,Log Description,string,4096,22005 - LOG_ID_FAIL_CREATE_SOCKET_RETRY,22005,LOG_ID_FAIL_CREATE_SOCKET_RETRY,Socket creation retry failed,Event,system,Warning,7.2.10
