Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
time,Time,string,8,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
logid,Log ID,string,10,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
type,Log Type,string,16,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
subtype,Log Subtype,string,20,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
level,Log Level,string,11,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
devid,Device ID,string,16,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
vd,Virtual Domain Name,string,32,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
eventtime,Event time,uint64,20,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
tz,Time zone,string,5,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
logdesc,Log Description,string,4096,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
action,Policy Action,string,65,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
msg,Log Message,string,4096,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
ssid,WiFi Service Set ID,string,33,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
radioband,The operating radio band,string,64,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
channel,Channel,uint8,3,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
sn,Serial Number,string,64,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
ap,Access Point,string,36,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
ip,,ip,39,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
radioid,The operating radio ID,uint8,3,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
bandwidth,Bandwidth,string,42,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
configcountry,Config Country,string,4,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
opercountry,The name of operating country on a AP,string,4,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
cfgtxpower,Config TX power,uint32,10,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
opertxpower,The value of operating tx power,uint32,10,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
slctdrmamode,,string,10,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
operdrmamode,,string,10,43590 - LOG_ID_EVENT_WIRELESS_WTPR_NOL,43590,LOG_ID_EVENT_WIRELESS_WTPR_NOL,Physical AP radio channel removed from NOL,Event,wireless,Notice,7.6.0
