Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22000 - LOG_ID_INV_PKT_LEN,22000,LOG_ID_INV_PKT_LEN,Packet length mismatch,Event,system,Warning,7.2.9
time,Time,string,8,22000 - LOG_ID_INV_PKT_LEN,22000,LOG_ID_INV_PKT_LEN,Packet length mismatch,Event,system,Warning,7.2.9
logid,Log ID,string,10,22000 - LOG_ID_INV_PKT_LEN,22000,LOG_ID_INV_PKT_LEN,Packet length mismatch,Event,system,Warning,7.2.9
type,Log Type,string,16,22000 - LOG_ID_INV_PKT_LEN,22000,LOG_ID_INV_PKT_LEN,Packet length mismatch,Event,system,Warning,7.2.9
subtype,Log Subtype,string,20,22000 - LOG_ID_INV_PKT_LEN,22000,LOG_ID_INV_PKT_LEN,Packet length mismatch,Event,system,Warning,7.2.9
level,Log Level,string,11,22000 - LOG_ID_INV_PKT_LEN,22000,LOG_ID_INV_PKT_LEN,Packet length mismatch,Event,system,Warning,7.2.9
devid,Device ID,string,16,22000 - LOG_ID_INV_PKT_LEN,22000,LOG_ID_INV_PKT_LEN,Packet length mismatch,Event,system,Warning,7.2.9
vd,Virtual Domain Name,string,32,22000 - LOG_ID_INV_PKT_LEN,22000,LOG_ID_INV_PKT_LEN,Packet length mismatch,Event,system,Warning,7.2.9
eventtime,Event time,uint64,20,22000 - LOG_ID_INV_PKT_LEN,22000,LOG_ID_INV_PKT_LEN,Packet length mismatch,Event,system,Warning,7.2.9
tz,Time zone,string,5,22000 - LOG_ID_INV_PKT_LEN,22000,LOG_ID_INV_PKT_LEN,Packet length mismatch,Event,system,Warning,7.2.9
logdesc,Log Description,string,4096,22000 - LOG_ID_INV_PKT_LEN,22000,LOG_ID_INV_PKT_LEN,Packet length mismatch,Event,system,Warning,7.2.9
msg,Log Message,string,4096,22000 - LOG_ID_INV_PKT_LEN,22000,LOG_ID_INV_PKT_LEN,Packet length mismatch,Event,system,Warning,7.2.9
