Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
time,Time,string,8,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
logid,Log ID,string,10,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
type,Log Type,string,16,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
subtype,Log Subtype,string,20,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
level,Log Level,string,11,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
devid,Device ID,string,16,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
vd,Virtual Domain Name,string,32,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
eventtime,Event time,uint64,20,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
tz,Time zone,string,5,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
logdesc,Log Description,string,4096,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
action,Policy Action,string,65,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
msg,Log Message,string,4096,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
sn,Serial Number,string,64,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
ap,Access Point,string,36,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
profile,Profile Name,string,64,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
ip,,ip,39,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
meshmode,Mesh mode,string,19,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
snmeshparent,SN of the mesh parent,string,36,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
reason,Reason,string,256,43557 - LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,43557,LOG_ID_EVENT_WIRELESS_WTP_ADD_FAILURE,Physical AP add failure,Event,wireless,Notice,7.2.9
