Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
time,Time,string,8,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
logid,Log ID,string,10,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
type,Log Type,string,16,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
subtype,Log Subtype,string,20,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
level,Log Level,string,11,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
devid,Device ID,string,16,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
vd,Virtual Domain Name,string,32,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
eventtime,Event time,uint64,20,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
tz,Time zone,string,5,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
logdesc,Log Description,string,4096,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
user,User name of authenticated user,string,256,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
ui,User Interface,string,64,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
action,Policy Action,string,65,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
status,Status,string,23,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
msg,Log Message,string,4096,32245 - LOG_ID_BACKUP_USER_DEF_IPS_FAIL,32245,LOG_ID_BACKUP_USER_DEF_IPS_FAIL,IPS custom signatures backup failed,Event,system,Error,7.2.9
