Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43692 - LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,43692,LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,Defect antenna detection,Event,wireless,Warning,7.2.9
time,Time,string,8,43692 - LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,43692,LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,Defect antenna detection,Event,wireless,Warning,7.2.9
logid,Log ID,string,10,43692 - LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,43692,LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,Defect antenna detection,Event,wireless,Warning,7.2.9
type,Log Type,string,16,43692 - LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,43692,LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,Defect antenna detection,Event,wireless,Warning,7.2.9
subtype,Log Subtype,string,20,43692 - LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,43692,LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,Defect antenna detection,Event,wireless,Warning,7.2.9
level,Log Level,string,11,43692 - LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,43692,LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,Defect antenna detection,Event,wireless,Warning,7.2.9
devid,Device ID,string,16,43692 - LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,43692,LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,Defect antenna detection,Event,wireless,Warning,7.2.9
vd,Virtual Domain Name,string,32,43692 - LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,43692,LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,Defect antenna detection,Event,wireless,Warning,7.2.9
eventtime,Event time,uint64,20,43692 - LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,43692,LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,Defect antenna detection,Event,wireless,Warning,7.2.9
tz,Time zone,string,5,43692 - LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,43692,LOG_ID_EVENT_WIRELESS_WTPR_ANTENNA_DEFECT_DETECT,Defect antenna detection,Event,wireless,Warning,7.2.9
