Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
dstport,Destination Protocol Port,uint16,5,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
dstip,Destination IP,ip,39,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
srcport,Source port,uint16,5,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
srcip,Source IP,ip,39,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
policyid,Policy ID,uint32,10,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
tunneltype,IPsec VPN tunnel type,string,64,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
tunnelid,IPsec VPN tunnel ID,uint32,10,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
logdesc,Log Description,string,4096,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
tz,Time zone,string,5,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
eventtime,Event time,uint64,20,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
vd,Virtual Domain Name,string,32,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
devid,Device ID,string,16,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
level,Log Level,string,11,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
subtype,Log Subtype,string,20,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
type,Log Type,string,16,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
logid,Log ID,string,10,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
time,Time,string,8,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
date,Date,string,10,48040 - LOG_ID_WANOPT_TUNNEL_CREATE,48040,LOG_ID_WANOPT_TUNNEL_CREATE,WANOPT Tunnel successfully created,Event,wanopt,Information,7.2.11
