Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
probeproto,Link Monitor Probe Protocol,string,16,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
interface,Interface,string,32,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
name,Display Name of the Connection,string,128,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
msg,Log Message,string,4096,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
logdesc,Log Description,string,4096,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
tz,Time zone,string,5,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
eventtime,Event time,uint64,20,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
vd,Virtual Domain Name,string,32,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
devid,Device ID,string,16,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
level,Log Level,string,11,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
subtype,Log Subtype,string,20,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
type,Log Type,string,16,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
logid,Log ID,string,10,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
time,Time,string,8,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
date,Date,string,10,22922 - LOG_ID_EVENT_LINK_MONITOR_STATUS,22922,LOG_ID_EVENT_LINK_MONITOR_STATUS,Link monitor status,Event,system,Notice,7.2.11
