Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
crl,Certificate revocation lists,string,4096,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
msg,Log Message,string,4096,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
action,Policy Action,string,65,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
ui,User Interface,string,64,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
user,User name of authenticated user,string,256,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
logdesc,Log Description,string,4096,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
tz,Time zone,string,5,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
eventtime,Event time,uint64,20,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
vd,Virtual Domain Name,string,32,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
devid,Device ID,string,16,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
level,Log Level,string,11,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
subtype,Log Subtype,string,20,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
type,Log Type,string,16,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
logid,Log ID,string,10,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
time,Time,string,8,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
date,Date,string,10,32148 - LOG_ID_GET_CRL,32148,LOG_ID_GET_CRL,CRL update requested,Event,system,Notice,7.2.11
