Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,20073 - LOG_ID_RAD_NO_OPT_DATA,20073,LOG_ID_RAD_NO_OPT_DATA,RADVD RA packet option length zero,Event,system,Critical,7.4.4
time,Time,string,8,20073 - LOG_ID_RAD_NO_OPT_DATA,20073,LOG_ID_RAD_NO_OPT_DATA,RADVD RA packet option length zero,Event,system,Critical,7.4.4
logid,Log ID,string,10,20073 - LOG_ID_RAD_NO_OPT_DATA,20073,LOG_ID_RAD_NO_OPT_DATA,RADVD RA packet option length zero,Event,system,Critical,7.4.4
type,Log Type,string,16,20073 - LOG_ID_RAD_NO_OPT_DATA,20073,LOG_ID_RAD_NO_OPT_DATA,RADVD RA packet option length zero,Event,system,Critical,7.4.4
subtype,Log Subtype,string,20,20073 - LOG_ID_RAD_NO_OPT_DATA,20073,LOG_ID_RAD_NO_OPT_DATA,RADVD RA packet option length zero,Event,system,Critical,7.4.4
level,Log Level,string,11,20073 - LOG_ID_RAD_NO_OPT_DATA,20073,LOG_ID_RAD_NO_OPT_DATA,RADVD RA packet option length zero,Event,system,Critical,7.4.4
devid,Device ID,string,16,20073 - LOG_ID_RAD_NO_OPT_DATA,20073,LOG_ID_RAD_NO_OPT_DATA,RADVD RA packet option length zero,Event,system,Critical,7.4.4
vd,Virtual Domain Name,string,32,20073 - LOG_ID_RAD_NO_OPT_DATA,20073,LOG_ID_RAD_NO_OPT_DATA,RADVD RA packet option length zero,Event,system,Critical,7.4.4
eventtime,Event time,uint64,20,20073 - LOG_ID_RAD_NO_OPT_DATA,20073,LOG_ID_RAD_NO_OPT_DATA,RADVD RA packet option length zero,Event,system,Critical,7.4.4
tz,Time zone,string,5,20073 - LOG_ID_RAD_NO_OPT_DATA,20073,LOG_ID_RAD_NO_OPT_DATA,RADVD RA packet option length zero,Event,system,Critical,7.4.4
logdesc,Log Description,string,4096,20073 - LOG_ID_RAD_NO_OPT_DATA,20073,LOG_ID_RAD_NO_OPT_DATA,RADVD RA packet option length zero,Event,system,Critical,7.4.4
msg,Log Message,string,4096,20073 - LOG_ID_RAD_NO_OPT_DATA,20073,LOG_ID_RAD_NO_OPT_DATA,RADVD RA packet option length zero,Event,system,Critical,7.4.4
