Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
apn,Access Point Name,string,128,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
date,Date,string,10,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
deny_cause,Deny Cause,string,25,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
devid,Device ID,string,16,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
dstport,Destination Port,uint16,5,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
eventtime,Event time line,uint64,20,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
from,From,ip,128,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
from6,,ip,39,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
headerteid,Tunnel Endpoint ID Header,uint32,10,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
imsi,International mobile subscriber ID,string,16,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
level,Log Level,string,11,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
logid,Log ID,string,10,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
msg-type,Message Type,uint8,3,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
msgtypename,,string,50,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
msisdn,Mobile Subscriber Integrated Services Digital Network-Number (telephone # to a SIM card),string,16,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
profile,Profile Name,string,64,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
srcport,Source Port,uint16,5,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
status,Status,string,23,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
subtype,Log Subtype,string,20,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
time,Time,string,8,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
to,To,ip,512,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
to6,,ip,39,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
tunnel-idx,"Tunnel serial number, internally assigned",uint32,10,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
type,Log Type,string,16,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
tz,Time zone,string,5,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
vd,Virtual Domain Name,string,32,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
version,Version,uint32,64,41229 - LOGID_GTPU_FORWARD,41229,LOGID_GTPU_FORWARD,GTPU forward message,GTP,gtp-all,Information,7.4.4
