Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
time,Time,string,8,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
logid,Log ID,string,10,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
type,Log Type,string,16,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
subtype,Log Subtype,string,20,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
level,Log Level,string,11,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
devid,Device ID,string,16,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
vd,Virtual Domain Name,string,32,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
eventtime,Event time,uint64,20,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
tz,Time zone,string,5,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
logdesc,Log Description,string,4096,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
action,Policy Action,string,65,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
msg,Log Message,string,4096,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
reason,Reason,string,256,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
log,Log Name for Log Rotation,string,32,32011 - LOG_ID_LOG_ROLL,32011,LOG_ID_LOG_ROLL,Disk log rolled,Event,system,Notice,7.4.4
