Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,53010 - LOG_ID_INTERNAL_FDS_FTC,53010,LOG_ID_INTERNAL_FDS_FTC,FortiToken-Cloud data received,Event,system,Information,7.4.4
time,Time,string,8,53010 - LOG_ID_INTERNAL_FDS_FTC,53010,LOG_ID_INTERNAL_FDS_FTC,FortiToken-Cloud data received,Event,system,Information,7.4.4
logid,Log ID,string,10,53010 - LOG_ID_INTERNAL_FDS_FTC,53010,LOG_ID_INTERNAL_FDS_FTC,FortiToken-Cloud data received,Event,system,Information,7.4.4
type,Log Type,string,16,53010 - LOG_ID_INTERNAL_FDS_FTC,53010,LOG_ID_INTERNAL_FDS_FTC,FortiToken-Cloud data received,Event,system,Information,7.4.4
subtype,Log Subtype,string,20,53010 - LOG_ID_INTERNAL_FDS_FTC,53010,LOG_ID_INTERNAL_FDS_FTC,FortiToken-Cloud data received,Event,system,Information,7.4.4
level,Log Level,string,11,53010 - LOG_ID_INTERNAL_FDS_FTC,53010,LOG_ID_INTERNAL_FDS_FTC,FortiToken-Cloud data received,Event,system,Information,7.4.4
devid,Device ID,string,16,53010 - LOG_ID_INTERNAL_FDS_FTC,53010,LOG_ID_INTERNAL_FDS_FTC,FortiToken-Cloud data received,Event,system,Information,7.4.4
vd,Virtual Domain Name,string,32,53010 - LOG_ID_INTERNAL_FDS_FTC,53010,LOG_ID_INTERNAL_FDS_FTC,FortiToken-Cloud data received,Event,system,Information,7.4.4
eventtime,Event time,uint64,20,53010 - LOG_ID_INTERNAL_FDS_FTC,53010,LOG_ID_INTERNAL_FDS_FTC,FortiToken-Cloud data received,Event,system,Information,7.4.4
tz,Time zone,string,5,53010 - LOG_ID_INTERNAL_FDS_FTC,53010,LOG_ID_INTERNAL_FDS_FTC,FortiToken-Cloud data received,Event,system,Information,7.4.4
logdesc,Log Description,string,4096,53010 - LOG_ID_INTERNAL_FDS_FTC,53010,LOG_ID_INTERNAL_FDS_FTC,FortiToken-Cloud data received,Event,system,Information,7.4.4
msg,Log Message,string,4096,53010 - LOG_ID_INTERNAL_FDS_FTC,53010,LOG_ID_INTERNAL_FDS_FTC,FortiToken-Cloud data received,Event,system,Information,7.4.4
role,"IPsec peer role, initator or responder",string,9,53010 - LOG_ID_INTERNAL_FDS_FTC,53010,LOG_ID_INTERNAL_FDS_FTC,FortiToken-Cloud data received,Event,system,Information,7.4.4
