Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
adgroup,AD Group Name of FSSO user,string,128,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
group,User group Name,string,512,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
policyid,Policy ID,uint32,10,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
dstip,Destination IP,ip,39,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
reason,Reason,string,256,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
srcip,Source IP,ip,39,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
msg,Log Message,string,4096,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
status,Status,string,23,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
action,Policy Action,string,65,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
authproto,The protocol that initiated the authentication,string,512,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
user,User name of authenticated user,string,256,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
logdesc,Log Description,string,4096,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
tz,Time zone,string,5,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
eventtime,Event time,uint64,20,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
vd,Virtual Domain Name,string,32,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
devid,Device ID,string,16,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
level,Log Level,string,11,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
subtype,Log Subtype,string,20,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
type,Log Type,string,16,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
logid,Log ID,string,10,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
time,Time,string,8,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
date,Date,string,10,43017 - LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,43017,LOG_ID_EVENT_AUTH_NTLM_AUTH_FAIL,NTLM authentication failed,Event,user,Notice,7.4.9
