Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
direction,,string,16,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
sn,Serial Number,string,64,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
reason,Reason,string,256,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
ip,,ip,39,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
msg,Log Message,string,4096,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
logdesc,Log Description,string,4096,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
tz,Time zone,string,5,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
eventtime,Event time,uint64,20,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
vd,Virtual Domain Name,string,32,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
devid,Device ID,string,16,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
level,Log Level,string,11,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
subtype,Log Subtype,string,20,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
type,Log Type,string,16,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
logid,Log ID,string,10,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
time,Time,string,8,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
date,Date,string,10,22037 - LOG_ID_CSF_FGT_DISCONNECTED,22037,LOG_ID_CSF_FGT_DISCONNECTED,Connection with authorized Security Fabric member terminated.,Event,system,Information,7.4.9
