Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
time,Time,string,8,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
logid,Log ID,string,10,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
type,Log Type,string,16,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
subtype,Log Subtype,string,20,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
level,Log Level,string,11,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
devid,Device ID,string,16,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
vd,Virtual Domain Name,string,32,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
eventtime,Event time,uint64,20,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
tz,Time zone,string,5,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
logdesc,Log Description,string,4096,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
action,Policy Action,string,65,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
msg,Log Message,string,4096,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
ssid,WiFi Service Set ID,string,33,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
security,Security,string,40,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
encryption,The encryption type of detected rogue AP,string,12,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
stamac,The MAC address of wifi station,string,17,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
sn,Serial Number,string,64,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
ap,Access Point,string,36,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
vap,Virtual Access Point,string,36,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
snprev,,string,36,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
remotewtptime,The time of AP when client trying to connect,string,32,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
server,AD server FQDN or IP,string,64,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
mac,MAC Address,string,17,43699 - LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,43699,LOG_ID_EVENT_WIRELESS_STA_DHCP6_SOLICIT,Wireless station sent DHCP6 SOLICIT,Event,wireless,Notice,7.4.3
