Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
time,Time,string,8,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
logid,Log ID,string,10,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
type,Log Type,string,16,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
subtype,Log Subtype,string,20,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
level,Log Level,string,11,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
devid,Device ID,string,16,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
vd,Virtual Domain Name,string,32,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
eventtime,Event time,uint64,20,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
tz,Time zone,string,5,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
logdesc,Log Description,string,4096,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
action,Policy Action,string,65,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
msg,Log Message,string,4096,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
ssid,WiFi Service Set ID,string,33,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
radioband,The operating radio band,string,64,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
channel,Channel,uint8,3,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
sn,Serial Number,string,64,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
ap,Access Point,string,36,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
ip,,ip,39,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
radioid,The operating radio ID,uint8,3,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
bandwidth,Bandwidth,string,42,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
configcountry,Config Country,string,4,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
opercountry,The name of operating country on a AP,string,4,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
cfgtxpower,Config TX power,uint32,10,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
opertxpower,The value of operating tx power,uint32,10,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
slctdrmamode,,string,10,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
operdrmamode,,string,10,43589 - LOG_ID_EVENT_WIRELESS_WTPR_RADAR,43589,LOG_ID_EVENT_WIRELESS_WTPR_RADAR,Physical AP radio radar detected,Event,wireless,Notice,7.2.10
