Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
time,Time,string,8,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
logid,Log ID,string,10,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
type,Log Type,string,16,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
subtype,Log Subtype,string,20,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
level,Log Level,string,11,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
devid,Device ID,string,16,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
vd,Virtual Domain Name,string,32,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
eventtime,Event time,uint64,20,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
tz,Time zone,string,5,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
logdesc,Log Description,string,4096,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
action,Policy Action,string,65,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
msg,Log Message,string,4096,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
ssid,WiFi Service Set ID,string,33,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
radioband,The operating radio band,string,64,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
sn,Serial Number,string,64,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
ap,Access Point,string,36,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
ip,,ip,39,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
radioid,The operating radio ID,uint8,3,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
bandwidth,Bandwidth,string,42,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
configcountry,Config Country,string,4,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
opercountry,The name of operating country on a AP,string,4,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
cfgtxpower,Config TX power,uint32,10,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
opertxpower,The value of operating tx power,uint32,10,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
slctdrmamode,,string,10,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
operdrmamode,,string,10,43526 - LOG_ID_EVENT_WIRELESS_WTPR,43526,LOG_ID_EVENT_WIRELESS_WTPR,Physical AP radio activity,Event,wireless,Notice,7.2.2
