Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
duration,Duration,uint32,10,38659 - LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,38659,LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,RADIUS accounting stop message missing summary,Event,user,Notice,7.6.1
count,Number of Packets,uint32,10,38659 - LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,38659,LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,RADIUS accounting stop message missing summary,Event,user,Notice,7.6.1
msg,Log Message,string,4096,38659 - LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,38659,LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,RADIUS accounting stop message missing summary,Event,user,Notice,7.6.1
logdesc,Log Description,string,4096,38659 - LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,38659,LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,RADIUS accounting stop message missing summary,Event,user,Notice,7.6.1
tz,Time zone,string,5,38659 - LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,38659,LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,RADIUS accounting stop message missing summary,Event,user,Notice,7.6.1
eventtime,Event time,uint64,20,38659 - LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,38659,LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,RADIUS accounting stop message missing summary,Event,user,Notice,7.6.1
vd,Virtual Domain Name,string,32,38659 - LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,38659,LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,RADIUS accounting stop message missing summary,Event,user,Notice,7.6.1
devid,Device ID,string,16,38659 - LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,38659,LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,RADIUS accounting stop message missing summary,Event,user,Notice,7.6.1
level,Log Level,string,11,38659 - LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,38659,LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,RADIUS accounting stop message missing summary,Event,user,Notice,7.6.1
subtype,Log Subtype,string,20,38659 - LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,38659,LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,RADIUS accounting stop message missing summary,Event,user,Notice,7.6.1
type,Log Type,string,16,38659 - LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,38659,LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,RADIUS accounting stop message missing summary,Event,user,Notice,7.6.1
logid,Log ID,string,10,38659 - LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,38659,LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,RADIUS accounting stop message missing summary,Event,user,Notice,7.6.1
time,Time,string,8,38659 - LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,38659,LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,RADIUS accounting stop message missing summary,Event,user,Notice,7.6.1
date,Date,string,10,38659 - LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,38659,LOGID_EVENT_RAD_RPT_ACCT_STOP_MISSED,RADIUS accounting stop message missing summary,Event,user,Notice,7.6.1
