Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,38406 - LOGID_NOTIF_CODE_SENDTO_SMS_TO,38406,LOGID_NOTIF_CODE_SENDTO_SMS_TO,Guest user account login information sent as SMS,Event,system,Notice,7.4.11
action,Policy Action,string,65,38406 - LOGID_NOTIF_CODE_SENDTO_SMS_TO,38406,LOGID_NOTIF_CODE_SENDTO_SMS_TO,Guest user account login information sent as SMS,Event,system,Notice,7.4.11
user,User name of authenticated user,string,256,38406 - LOGID_NOTIF_CODE_SENDTO_SMS_TO,38406,LOGID_NOTIF_CODE_SENDTO_SMS_TO,Guest user account login information sent as SMS,Event,system,Notice,7.4.11
logdesc,Log Description,string,4096,38406 - LOGID_NOTIF_CODE_SENDTO_SMS_TO,38406,LOGID_NOTIF_CODE_SENDTO_SMS_TO,Guest user account login information sent as SMS,Event,system,Notice,7.4.11
tz,Time zone,string,5,38406 - LOGID_NOTIF_CODE_SENDTO_SMS_TO,38406,LOGID_NOTIF_CODE_SENDTO_SMS_TO,Guest user account login information sent as SMS,Event,system,Notice,7.4.11
eventtime,Event time,uint64,20,38406 - LOGID_NOTIF_CODE_SENDTO_SMS_TO,38406,LOGID_NOTIF_CODE_SENDTO_SMS_TO,Guest user account login information sent as SMS,Event,system,Notice,7.4.11
vd,Virtual Domain Name,string,32,38406 - LOGID_NOTIF_CODE_SENDTO_SMS_TO,38406,LOGID_NOTIF_CODE_SENDTO_SMS_TO,Guest user account login information sent as SMS,Event,system,Notice,7.4.11
devid,Device ID,string,16,38406 - LOGID_NOTIF_CODE_SENDTO_SMS_TO,38406,LOGID_NOTIF_CODE_SENDTO_SMS_TO,Guest user account login information sent as SMS,Event,system,Notice,7.4.11
level,Log Level,string,11,38406 - LOGID_NOTIF_CODE_SENDTO_SMS_TO,38406,LOGID_NOTIF_CODE_SENDTO_SMS_TO,Guest user account login information sent as SMS,Event,system,Notice,7.4.11
subtype,Log Subtype,string,20,38406 - LOGID_NOTIF_CODE_SENDTO_SMS_TO,38406,LOGID_NOTIF_CODE_SENDTO_SMS_TO,Guest user account login information sent as SMS,Event,system,Notice,7.4.11
type,Log Type,string,16,38406 - LOGID_NOTIF_CODE_SENDTO_SMS_TO,38406,LOGID_NOTIF_CODE_SENDTO_SMS_TO,Guest user account login information sent as SMS,Event,system,Notice,7.4.11
logid,Log ID,string,10,38406 - LOGID_NOTIF_CODE_SENDTO_SMS_TO,38406,LOGID_NOTIF_CODE_SENDTO_SMS_TO,Guest user account login information sent as SMS,Event,system,Notice,7.4.11
time,Time,string,8,38406 - LOGID_NOTIF_CODE_SENDTO_SMS_TO,38406,LOGID_NOTIF_CODE_SENDTO_SMS_TO,Guest user account login information sent as SMS,Event,system,Notice,7.4.11
date,Date,string,10,38406 - LOGID_NOTIF_CODE_SENDTO_SMS_TO,38406,LOGID_NOTIF_CODE_SENDTO_SMS_TO,Guest user account login information sent as SMS,Event,system,Notice,7.4.11
