Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
interface,Interface,string,32,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.4.8
sn,Serial Number,string,64,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.4.8
msg,Log Message,string,4096,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.4.8
logdesc,Log Description,string,4096,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.4.8
tz,Time zone,string,5,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.4.8
eventtime,Event time,uint64,20,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.4.8
vd,Virtual Domain Name,string,32,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.4.8
devid,Device ID,string,16,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.4.8
level,Log Level,string,11,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.4.8
subtype,Log Subtype,string,20,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.4.8
type,Log Type,string,16,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.4.8
logid,Log ID,string,10,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.4.8
time,Time,string,8,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.4.8
date,Date,string,10,22061 - LOG_ID_IPAMSD_DELETE_ENTRY,22061,LOG_ID_IPAMSD_DELETE_ENTRY,Delete entry from IPAM,Event,system,Notice,7.4.8
