Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
newchassisid,New Chassis ID,uint8,3,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
newslot,New Slot Number,uint8,3,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
oldchassisid,Original Chassis Number,uint8,3,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
oldslot,Original Slot Number,uint8,3,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
informationsource,Information Source,string,4096,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
msg,Log Message,string,4096,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
action,Policy Action,string,65,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
logdesc,Log Description,string,4096,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
tz,Time zone,string,5,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
eventtime,Event time,uint64,20,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
vd,Virtual Domain Name,string,32,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
devid,Device ID,string,16,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
level,Log Level,string,11,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
subtype,Log Subtype,string,20,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
type,Log Type,string,16,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
logid,Log ID,string,10,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
time,Time,string,8,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
date,Date,string,10,43804 - LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,43804,LOG_ID_EVENT_ELBC_MASTER_BLADE_CHANGE,Primary blade changed,Event,system,Critical,7.4.8
