Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
sn,Serial Number,string,64,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
service,Name of Service,string,64,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
msg,Log Message,string,4096,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
status,Status,string,23,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
logdesc,Log Description,string,4096,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
tz,Time zone,string,5,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
eventtime,Event time,uint64,20,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
vd,Virtual Domain Name,string,32,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
devid,Device ID,string,16,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
level,Log Level,string,11,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
subtype,Log Subtype,string,20,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
type,Log Type,string,16,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
logid,Log ID,string,10,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
time,Time,string,8,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
date,Date,string,10,22806 - LOG_ID_DUP_LIC,22806,LOG_ID_DUP_LIC,Duplicate license detected,Event,system,Warning,7.2.12
