Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
chassisid,Chassis ID,uint8,3,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
slot,Slot Number,uint8,3,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
informationsource,Information Source,string,4096,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
msg,Log Message,string,4096,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
action,Policy Action,string,65,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
logdesc,Log Description,string,4096,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
tz,Time zone,string,5,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
eventtime,Event time,uint64,20,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
vd,Virtual Domain Name,string,32,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
devid,Device ID,string,16,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
level,Log Level,string,11,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
subtype,Log Subtype,string,20,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
type,Log Type,string,16,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
logid,Log ID,string,10,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
time,Time,string,8,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
date,Date,string,10,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.2.12
