Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,53202 - LOG_ID_CONNECTOR_API_FAILED,53202,LOG_ID_CONNECTOR_API_FAILED,SDN Connector API failed,Event,connector,Error,7.6.3
addr,IP Address,string,80,53202 - LOG_ID_CONNECTOR_API_FAILED,53202,LOG_ID_CONNECTOR_API_FAILED,SDN Connector API failed,Event,connector,Error,7.6.3
logdesc,Log Description,string,4096,53202 - LOG_ID_CONNECTOR_API_FAILED,53202,LOG_ID_CONNECTOR_API_FAILED,SDN Connector API failed,Event,connector,Error,7.6.3
tz,Time zone,string,5,53202 - LOG_ID_CONNECTOR_API_FAILED,53202,LOG_ID_CONNECTOR_API_FAILED,SDN Connector API failed,Event,connector,Error,7.6.3
eventtime,Event time,uint64,20,53202 - LOG_ID_CONNECTOR_API_FAILED,53202,LOG_ID_CONNECTOR_API_FAILED,SDN Connector API failed,Event,connector,Error,7.6.3
vd,Virtual Domain Name,string,32,53202 - LOG_ID_CONNECTOR_API_FAILED,53202,LOG_ID_CONNECTOR_API_FAILED,SDN Connector API failed,Event,connector,Error,7.6.3
devid,Device ID,string,16,53202 - LOG_ID_CONNECTOR_API_FAILED,53202,LOG_ID_CONNECTOR_API_FAILED,SDN Connector API failed,Event,connector,Error,7.6.3
level,Log Level,string,11,53202 - LOG_ID_CONNECTOR_API_FAILED,53202,LOG_ID_CONNECTOR_API_FAILED,SDN Connector API failed,Event,connector,Error,7.6.3
subtype,Log Subtype,string,20,53202 - LOG_ID_CONNECTOR_API_FAILED,53202,LOG_ID_CONNECTOR_API_FAILED,SDN Connector API failed,Event,connector,Error,7.6.3
type,Log Type,string,16,53202 - LOG_ID_CONNECTOR_API_FAILED,53202,LOG_ID_CONNECTOR_API_FAILED,SDN Connector API failed,Event,connector,Error,7.6.3
logid,Log ID,string,10,53202 - LOG_ID_CONNECTOR_API_FAILED,53202,LOG_ID_CONNECTOR_API_FAILED,SDN Connector API failed,Event,connector,Error,7.6.3
time,Time,string,8,53202 - LOG_ID_CONNECTOR_API_FAILED,53202,LOG_ID_CONNECTOR_API_FAILED,SDN Connector API failed,Event,connector,Error,7.6.3
date,Date,string,10,53202 - LOG_ID_CONNECTOR_API_FAILED,53202,LOG_ID_CONNECTOR_API_FAILED,SDN Connector API failed,Event,connector,Error,7.6.3
