Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,43053 - LOG_ID_EVENT_AUTH_BACKUP_FAILED,43053,LOG_ID_EVENT_AUTH_BACKUP_FAILED,Auth backup failed,Event,user,Warning,7.6.3
logdesc,Log Description,string,4096,43053 - LOG_ID_EVENT_AUTH_BACKUP_FAILED,43053,LOG_ID_EVENT_AUTH_BACKUP_FAILED,Auth backup failed,Event,user,Warning,7.6.3
tz,Time zone,string,5,43053 - LOG_ID_EVENT_AUTH_BACKUP_FAILED,43053,LOG_ID_EVENT_AUTH_BACKUP_FAILED,Auth backup failed,Event,user,Warning,7.6.3
eventtime,Event time,uint64,20,43053 - LOG_ID_EVENT_AUTH_BACKUP_FAILED,43053,LOG_ID_EVENT_AUTH_BACKUP_FAILED,Auth backup failed,Event,user,Warning,7.6.3
vd,Virtual Domain Name,string,32,43053 - LOG_ID_EVENT_AUTH_BACKUP_FAILED,43053,LOG_ID_EVENT_AUTH_BACKUP_FAILED,Auth backup failed,Event,user,Warning,7.6.3
devid,Device ID,string,16,43053 - LOG_ID_EVENT_AUTH_BACKUP_FAILED,43053,LOG_ID_EVENT_AUTH_BACKUP_FAILED,Auth backup failed,Event,user,Warning,7.6.3
level,Log Level,string,11,43053 - LOG_ID_EVENT_AUTH_BACKUP_FAILED,43053,LOG_ID_EVENT_AUTH_BACKUP_FAILED,Auth backup failed,Event,user,Warning,7.6.3
subtype,Log Subtype,string,20,43053 - LOG_ID_EVENT_AUTH_BACKUP_FAILED,43053,LOG_ID_EVENT_AUTH_BACKUP_FAILED,Auth backup failed,Event,user,Warning,7.6.3
type,Log Type,string,16,43053 - LOG_ID_EVENT_AUTH_BACKUP_FAILED,43053,LOG_ID_EVENT_AUTH_BACKUP_FAILED,Auth backup failed,Event,user,Warning,7.6.3
logid,Log ID,string,10,43053 - LOG_ID_EVENT_AUTH_BACKUP_FAILED,43053,LOG_ID_EVENT_AUTH_BACKUP_FAILED,Auth backup failed,Event,user,Warning,7.6.3
time,Time,string,8,43053 - LOG_ID_EVENT_AUTH_BACKUP_FAILED,43053,LOG_ID_EVENT_AUTH_BACKUP_FAILED,Auth backup failed,Event,user,Warning,7.6.3
date,Date,string,10,43053 - LOG_ID_EVENT_AUTH_BACKUP_FAILED,43053,LOG_ID_EVENT_AUTH_BACKUP_FAILED,Auth backup failed,Event,user,Warning,7.6.3
