Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
action,Policy Action,string,65,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
ui,User Interface,string,64,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
user,User name of authenticated user,string,256,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
logdesc,Log Description,string,4096,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
tz,Time zone,string,5,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
eventtime,Event time,uint64,20,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
vd,Virtual Domain Name,string,32,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
devid,Device ID,string,16,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
level,Log Level,string,11,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
subtype,Log Subtype,string,20,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
type,Log Type,string,16,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
logid,Log ID,string,10,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
time,Time,string,8,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
date,Date,string,10,32565 - LOG_ID_RESTORE_CONF_BY_MGMT,32565,LOG_ID_RESTORE_CONF_BY_MGMT,Configuration restored from management station,Event,system,Warning,7.6.3
