Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,53402 - LOG_ID_FGFM_RECOVERY,53402,LOG_ID_FGFM_RECOVERY,FGFM recovery is triggered,Event,system,Warning,7.4.5
time,Time,string,8,53402 - LOG_ID_FGFM_RECOVERY,53402,LOG_ID_FGFM_RECOVERY,FGFM recovery is triggered,Event,system,Warning,7.4.5
logid,Log ID,string,10,53402 - LOG_ID_FGFM_RECOVERY,53402,LOG_ID_FGFM_RECOVERY,FGFM recovery is triggered,Event,system,Warning,7.4.5
type,Log Type,string,16,53402 - LOG_ID_FGFM_RECOVERY,53402,LOG_ID_FGFM_RECOVERY,FGFM recovery is triggered,Event,system,Warning,7.4.5
subtype,Log Subtype,string,20,53402 - LOG_ID_FGFM_RECOVERY,53402,LOG_ID_FGFM_RECOVERY,FGFM recovery is triggered,Event,system,Warning,7.4.5
level,Log Level,string,11,53402 - LOG_ID_FGFM_RECOVERY,53402,LOG_ID_FGFM_RECOVERY,FGFM recovery is triggered,Event,system,Warning,7.4.5
devid,Device ID,string,16,53402 - LOG_ID_FGFM_RECOVERY,53402,LOG_ID_FGFM_RECOVERY,FGFM recovery is triggered,Event,system,Warning,7.4.5
vd,Virtual Domain Name,string,32,53402 - LOG_ID_FGFM_RECOVERY,53402,LOG_ID_FGFM_RECOVERY,FGFM recovery is triggered,Event,system,Warning,7.4.5
eventtime,Event time,uint64,20,53402 - LOG_ID_FGFM_RECOVERY,53402,LOG_ID_FGFM_RECOVERY,FGFM recovery is triggered,Event,system,Warning,7.4.5
tz,Time zone,string,5,53402 - LOG_ID_FGFM_RECOVERY,53402,LOG_ID_FGFM_RECOVERY,FGFM recovery is triggered,Event,system,Warning,7.4.5
logdesc,Log Description,string,4096,53402 - LOG_ID_FGFM_RECOVERY,53402,LOG_ID_FGFM_RECOVERY,FGFM recovery is triggered,Event,system,Warning,7.4.5
action,Policy Action,string,65,53402 - LOG_ID_FGFM_RECOVERY,53402,LOG_ID_FGFM_RECOVERY,FGFM recovery is triggered,Event,system,Warning,7.4.5
status,Status,string,23,53402 - LOG_ID_FGFM_RECOVERY,53402,LOG_ID_FGFM_RECOVERY,FGFM recovery is triggered,Event,system,Warning,7.4.5
msg,Log Message,string,4096,53402 - LOG_ID_FGFM_RECOVERY,53402,LOG_ID_FGFM_RECOVERY,FGFM recovery is triggered,Event,system,Warning,7.4.5
