Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
time,Time,string,8,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
logid,Log ID,string,10,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
type,Log Type,string,16,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
subtype,Log Subtype,string,20,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
level,Log Level,string,11,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
devid,Device ID,string,16,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
vd,Virtual Domain Name,string,32,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
eventtime,Event time,uint64,20,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
tz,Time zone,string,5,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
logdesc,Log Description,string,4096,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
msg,Log Message,string,4096,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
assigned,Assigned IP Address through PPPoE,ip,39,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
gateway,Gateway ip address for PPPoE status report,ip,39,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
mtu,Max Transmission Unit Value,uint32,10,29010 - LOG_ID_PPPOE_STATUS_REPORT_NOTIF,29010,LOG_ID_PPPOE_STATUS_REPORT_NOTIF,PPPoE status report,Event,system,Notice,7.4.5
