Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,45129 - LOG_ID_EC_EMS_EMS_VERIFY,45129,LOG_ID_EC_EMS_EMS_VERIFY,FCEMS entry has been verified,Event,endpoint,Information,7.4.5
time,Time,string,8,45129 - LOG_ID_EC_EMS_EMS_VERIFY,45129,LOG_ID_EC_EMS_EMS_VERIFY,FCEMS entry has been verified,Event,endpoint,Information,7.4.5
logid,Log ID,string,10,45129 - LOG_ID_EC_EMS_EMS_VERIFY,45129,LOG_ID_EC_EMS_EMS_VERIFY,FCEMS entry has been verified,Event,endpoint,Information,7.4.5
type,Log Type,string,16,45129 - LOG_ID_EC_EMS_EMS_VERIFY,45129,LOG_ID_EC_EMS_EMS_VERIFY,FCEMS entry has been verified,Event,endpoint,Information,7.4.5
subtype,Log Subtype,string,20,45129 - LOG_ID_EC_EMS_EMS_VERIFY,45129,LOG_ID_EC_EMS_EMS_VERIFY,FCEMS entry has been verified,Event,endpoint,Information,7.4.5
level,Log Level,string,11,45129 - LOG_ID_EC_EMS_EMS_VERIFY,45129,LOG_ID_EC_EMS_EMS_VERIFY,FCEMS entry has been verified,Event,endpoint,Information,7.4.5
devid,Device ID,string,16,45129 - LOG_ID_EC_EMS_EMS_VERIFY,45129,LOG_ID_EC_EMS_EMS_VERIFY,FCEMS entry has been verified,Event,endpoint,Information,7.4.5
vd,Virtual Domain Name,string,32,45129 - LOG_ID_EC_EMS_EMS_VERIFY,45129,LOG_ID_EC_EMS_EMS_VERIFY,FCEMS entry has been verified,Event,endpoint,Information,7.4.5
eventtime,Event time,uint64,20,45129 - LOG_ID_EC_EMS_EMS_VERIFY,45129,LOG_ID_EC_EMS_EMS_VERIFY,FCEMS entry has been verified,Event,endpoint,Information,7.4.5
tz,Time zone,string,5,45129 - LOG_ID_EC_EMS_EMS_VERIFY,45129,LOG_ID_EC_EMS_EMS_VERIFY,FCEMS entry has been verified,Event,endpoint,Information,7.4.5
logdesc,Log Description,string,4096,45129 - LOG_ID_EC_EMS_EMS_VERIFY,45129,LOG_ID_EC_EMS_EMS_VERIFY,FCEMS entry has been verified,Event,endpoint,Information,7.4.5
msg,Log Message,string,4096,45129 - LOG_ID_EC_EMS_EMS_VERIFY,45129,LOG_ID_EC_EMS_EMS_VERIFY,FCEMS entry has been verified,Event,endpoint,Information,7.4.5
fctemsname,,string,36,45129 - LOG_ID_EC_EMS_EMS_VERIFY,45129,LOG_ID_EC_EMS_EMS_VERIFY,FCEMS entry has been verified,Event,endpoint,Information,7.4.5
