Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43533 - LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,43533,LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,Wireless invalid MAC OUI detected,Event,wireless,Notice,7.4.1
time,Time,string,8,43533 - LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,43533,LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,Wireless invalid MAC OUI detected,Event,wireless,Notice,7.4.1
logid,Log ID,string,10,43533 - LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,43533,LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,Wireless invalid MAC OUI detected,Event,wireless,Notice,7.4.1
type,Log Type,string,16,43533 - LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,43533,LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,Wireless invalid MAC OUI detected,Event,wireless,Notice,7.4.1
subtype,Log Subtype,string,20,43533 - LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,43533,LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,Wireless invalid MAC OUI detected,Event,wireless,Notice,7.4.1
level,Log Level,string,11,43533 - LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,43533,LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,Wireless invalid MAC OUI detected,Event,wireless,Notice,7.4.1
devid,Device ID,string,16,43533 - LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,43533,LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,Wireless invalid MAC OUI detected,Event,wireless,Notice,7.4.1
vd,Virtual Domain Name,string,32,43533 - LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,43533,LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,Wireless invalid MAC OUI detected,Event,wireless,Notice,7.4.1
eventtime,Event time,uint64,20,43533 - LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,43533,LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,Wireless invalid MAC OUI detected,Event,wireless,Notice,7.4.1
tz,Time zone,string,5,43533 - LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,43533,LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,Wireless invalid MAC OUI detected,Event,wireless,Notice,7.4.1
logdesc,Log Description,string,4096,43533 - LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,43533,LOG_ID_EVENT_WIRELESS_WIDS_MAC_OUI,Wireless invalid MAC OUI detected,Event,wireless,Notice,7.4.1
