Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
sn,,string,64,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
name,,string,128,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
msg,,string,4096,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
action,,string,65,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
ui,,string,64,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
user,,string,256,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
logdesc,,string,4096,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
tz,,string,5,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
eventtime,,uint64,20,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
vd,,string,32,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
devid,,string,16,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
level,,string,11,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
subtype,,string,20,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
type,,string,16,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
logid,,string,10,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
time,,string,8,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
date,,string,10,22873 - LOG_ID_FLPOLD_DPP_MAX_ERROR,22873,LOG_ID_FLPOLD_DPP_MAX_ERROR,DPP device Max Limit Error,Event,switch-controller,Warning,7.6.3
