Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
chassisid,Chassis ID,uint8,3,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
slot,Slot Number,uint8,3,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
informationsource,Information Source,string,4096,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
msg,Log Message,string,4096,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
action,Policy Action,string,65,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
logdesc,Log Description,string,4096,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
tz,Time zone,string,5,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
eventtime,Event time,uint64,20,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
vd,Virtual Domain Name,string,32,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
devid,Device ID,string,16,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
level,Log Level,string,11,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
subtype,Log Subtype,string,20,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
type,Log Type,string,16,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
logid,Log ID,string,10,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
time,Time,string,8,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
date,Date,string,10,43803 - LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,43803,LOG_ID_EVENT_ELBC_MASTER_BLADE_LOST,Primary blade lost,Event,system,Critical,7.4.7
