Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,20099 - LOG_ID_INTF_STA_CHG,20099,LOG_ID_INTF_STA_CHG,Interface status changed,Event,system,Warning,7.2.5
time,Time,string,8,20099 - LOG_ID_INTF_STA_CHG,20099,LOG_ID_INTF_STA_CHG,Interface status changed,Event,system,Warning,7.2.5
logid,Log ID,string,10,20099 - LOG_ID_INTF_STA_CHG,20099,LOG_ID_INTF_STA_CHG,Interface status changed,Event,system,Warning,7.2.5
type,Log Type,string,16,20099 - LOG_ID_INTF_STA_CHG,20099,LOG_ID_INTF_STA_CHG,Interface status changed,Event,system,Warning,7.2.5
subtype,Log Subtype,string,20,20099 - LOG_ID_INTF_STA_CHG,20099,LOG_ID_INTF_STA_CHG,Interface status changed,Event,system,Warning,7.2.5
level,Log Level,string,11,20099 - LOG_ID_INTF_STA_CHG,20099,LOG_ID_INTF_STA_CHG,Interface status changed,Event,system,Warning,7.2.5
devid,Device ID,string,16,20099 - LOG_ID_INTF_STA_CHG,20099,LOG_ID_INTF_STA_CHG,Interface status changed,Event,system,Warning,7.2.5
vd,Virtual Domain Name,string,32,20099 - LOG_ID_INTF_STA_CHG,20099,LOG_ID_INTF_STA_CHG,Interface status changed,Event,system,Warning,7.2.5
eventtime,Event time,uint64,20,20099 - LOG_ID_INTF_STA_CHG,20099,LOG_ID_INTF_STA_CHG,Interface status changed,Event,system,Warning,7.2.5
tz,Time zone,string,5,20099 - LOG_ID_INTF_STA_CHG,20099,LOG_ID_INTF_STA_CHG,Interface status changed,Event,system,Warning,7.2.5
logdesc,Log Description,string,4096,20099 - LOG_ID_INTF_STA_CHG,20099,LOG_ID_INTF_STA_CHG,Interface status changed,Event,system,Warning,7.2.5
action,Policy Action,string,65,20099 - LOG_ID_INTF_STA_CHG,20099,LOG_ID_INTF_STA_CHG,Interface status changed,Event,system,Warning,7.2.5
status,Status,string,23,20099 - LOG_ID_INTF_STA_CHG,20099,LOG_ID_INTF_STA_CHG,Interface status changed,Event,system,Warning,7.2.5
msg,Log Message,string,4096,20099 - LOG_ID_INTF_STA_CHG,20099,LOG_ID_INTF_STA_CHG,Interface status changed,Event,system,Warning,7.2.5
