Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,22955 - LOG_ID_INET_SVC_NAME_FAILURE,22955,LOG_ID_INET_SVC_NAME_FAILURE,Internet Service name update failed,Event,system,Warning,7.2.13
logdesc,Log Description,string,4096,22955 - LOG_ID_INET_SVC_NAME_FAILURE,22955,LOG_ID_INET_SVC_NAME_FAILURE,Internet Service name update failed,Event,system,Warning,7.2.13
tz,Time zone,string,5,22955 - LOG_ID_INET_SVC_NAME_FAILURE,22955,LOG_ID_INET_SVC_NAME_FAILURE,Internet Service name update failed,Event,system,Warning,7.2.13
eventtime,Event time,uint64,20,22955 - LOG_ID_INET_SVC_NAME_FAILURE,22955,LOG_ID_INET_SVC_NAME_FAILURE,Internet Service name update failed,Event,system,Warning,7.2.13
vd,Virtual Domain Name,string,32,22955 - LOG_ID_INET_SVC_NAME_FAILURE,22955,LOG_ID_INET_SVC_NAME_FAILURE,Internet Service name update failed,Event,system,Warning,7.2.13
devid,Device ID,string,16,22955 - LOG_ID_INET_SVC_NAME_FAILURE,22955,LOG_ID_INET_SVC_NAME_FAILURE,Internet Service name update failed,Event,system,Warning,7.2.13
level,Log Level,string,11,22955 - LOG_ID_INET_SVC_NAME_FAILURE,22955,LOG_ID_INET_SVC_NAME_FAILURE,Internet Service name update failed,Event,system,Warning,7.2.13
subtype,Log Subtype,string,20,22955 - LOG_ID_INET_SVC_NAME_FAILURE,22955,LOG_ID_INET_SVC_NAME_FAILURE,Internet Service name update failed,Event,system,Warning,7.2.13
type,Log Type,string,16,22955 - LOG_ID_INET_SVC_NAME_FAILURE,22955,LOG_ID_INET_SVC_NAME_FAILURE,Internet Service name update failed,Event,system,Warning,7.2.13
logid,Log ID,string,10,22955 - LOG_ID_INET_SVC_NAME_FAILURE,22955,LOG_ID_INET_SVC_NAME_FAILURE,Internet Service name update failed,Event,system,Warning,7.2.13
time,Time,string,8,22955 - LOG_ID_INET_SVC_NAME_FAILURE,22955,LOG_ID_INET_SVC_NAME_FAILURE,Internet Service name update failed,Event,system,Warning,7.2.13
date,Date,string,10,22955 - LOG_ID_INET_SVC_NAME_FAILURE,22955,LOG_ID_INET_SVC_NAME_FAILURE,Internet Service name update failed,Event,system,Warning,7.2.13
