Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
url,URL,string,512,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
status,Status,string,23,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
path,,string,512,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
method,Method,string,64,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
ui,User Interface,string,64,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
user,User name of authenticated user,string,256,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
logdesc,Log Description,string,4096,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
tz,Time zone,string,5,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
eventtime,Event time,uint64,20,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
vd,Virtual Domain Name,string,32,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
devid,Device ID,string,16,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
level,Log Level,string,11,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
subtype,Log Subtype,string,20,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
type,Log Type,string,16,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
logid,Log ID,string,10,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
time,Time,string,8,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
date,Date,string,10,47302 - LOG_ID_EVENT_REST_API_ERR,47302,LOG_ID_EVENT_REST_API_ERR,REST API request failed,Event,rest-api,Error,7.2.13
