Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
scope,,string,16,22040 - LOG_ID_CSF_DEVICE_JOIN,22040,LOG_ID_CSF_DEVICE_JOIN,Device joined the Security Fabric.,Event,system,Notice,7.2.13
sn,Serial Number,string,64,22040 - LOG_ID_CSF_DEVICE_JOIN,22040,LOG_ID_CSF_DEVICE_JOIN,Device joined the Security Fabric.,Event,system,Notice,7.2.13
msg,Log Message,string,4096,22040 - LOG_ID_CSF_DEVICE_JOIN,22040,LOG_ID_CSF_DEVICE_JOIN,Device joined the Security Fabric.,Event,system,Notice,7.2.13
logdesc,Log Description,string,4096,22040 - LOG_ID_CSF_DEVICE_JOIN,22040,LOG_ID_CSF_DEVICE_JOIN,Device joined the Security Fabric.,Event,system,Notice,7.2.13
tz,Time zone,string,5,22040 - LOG_ID_CSF_DEVICE_JOIN,22040,LOG_ID_CSF_DEVICE_JOIN,Device joined the Security Fabric.,Event,system,Notice,7.2.13
eventtime,Event time,uint64,20,22040 - LOG_ID_CSF_DEVICE_JOIN,22040,LOG_ID_CSF_DEVICE_JOIN,Device joined the Security Fabric.,Event,system,Notice,7.2.13
vd,Virtual Domain Name,string,32,22040 - LOG_ID_CSF_DEVICE_JOIN,22040,LOG_ID_CSF_DEVICE_JOIN,Device joined the Security Fabric.,Event,system,Notice,7.2.13
devid,Device ID,string,16,22040 - LOG_ID_CSF_DEVICE_JOIN,22040,LOG_ID_CSF_DEVICE_JOIN,Device joined the Security Fabric.,Event,system,Notice,7.2.13
level,Log Level,string,11,22040 - LOG_ID_CSF_DEVICE_JOIN,22040,LOG_ID_CSF_DEVICE_JOIN,Device joined the Security Fabric.,Event,system,Notice,7.2.13
subtype,Log Subtype,string,20,22040 - LOG_ID_CSF_DEVICE_JOIN,22040,LOG_ID_CSF_DEVICE_JOIN,Device joined the Security Fabric.,Event,system,Notice,7.2.13
type,Log Type,string,16,22040 - LOG_ID_CSF_DEVICE_JOIN,22040,LOG_ID_CSF_DEVICE_JOIN,Device joined the Security Fabric.,Event,system,Notice,7.2.13
logid,Log ID,string,10,22040 - LOG_ID_CSF_DEVICE_JOIN,22040,LOG_ID_CSF_DEVICE_JOIN,Device joined the Security Fabric.,Event,system,Notice,7.2.13
time,Time,string,8,22040 - LOG_ID_CSF_DEVICE_JOIN,22040,LOG_ID_CSF_DEVICE_JOIN,Device joined the Security Fabric.,Event,system,Notice,7.2.13
date,Date,string,10,22040 - LOG_ID_CSF_DEVICE_JOIN,22040,LOG_ID_CSF_DEVICE_JOIN,Device joined the Security Fabric.,Event,system,Notice,7.2.13
