Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,32100 - LOG_ID_FORTI_TOKEN_SYNC,32100,LOG_ID_FORTI_TOKEN_SYNC,FortiToken synchronized,Event,system,Warning,7.2.13
action,Policy Action,string,65,32100 - LOG_ID_FORTI_TOKEN_SYNC,32100,LOG_ID_FORTI_TOKEN_SYNC,FortiToken synchronized,Event,system,Warning,7.2.13
user,User name of authenticated user,string,256,32100 - LOG_ID_FORTI_TOKEN_SYNC,32100,LOG_ID_FORTI_TOKEN_SYNC,FortiToken synchronized,Event,system,Warning,7.2.13
logdesc,Log Description,string,4096,32100 - LOG_ID_FORTI_TOKEN_SYNC,32100,LOG_ID_FORTI_TOKEN_SYNC,FortiToken synchronized,Event,system,Warning,7.2.13
tz,Time zone,string,5,32100 - LOG_ID_FORTI_TOKEN_SYNC,32100,LOG_ID_FORTI_TOKEN_SYNC,FortiToken synchronized,Event,system,Warning,7.2.13
eventtime,Event time,uint64,20,32100 - LOG_ID_FORTI_TOKEN_SYNC,32100,LOG_ID_FORTI_TOKEN_SYNC,FortiToken synchronized,Event,system,Warning,7.2.13
vd,Virtual Domain Name,string,32,32100 - LOG_ID_FORTI_TOKEN_SYNC,32100,LOG_ID_FORTI_TOKEN_SYNC,FortiToken synchronized,Event,system,Warning,7.2.13
devid,Device ID,string,16,32100 - LOG_ID_FORTI_TOKEN_SYNC,32100,LOG_ID_FORTI_TOKEN_SYNC,FortiToken synchronized,Event,system,Warning,7.2.13
level,Log Level,string,11,32100 - LOG_ID_FORTI_TOKEN_SYNC,32100,LOG_ID_FORTI_TOKEN_SYNC,FortiToken synchronized,Event,system,Warning,7.2.13
subtype,Log Subtype,string,20,32100 - LOG_ID_FORTI_TOKEN_SYNC,32100,LOG_ID_FORTI_TOKEN_SYNC,FortiToken synchronized,Event,system,Warning,7.2.13
type,Log Type,string,16,32100 - LOG_ID_FORTI_TOKEN_SYNC,32100,LOG_ID_FORTI_TOKEN_SYNC,FortiToken synchronized,Event,system,Warning,7.2.13
logid,Log ID,string,10,32100 - LOG_ID_FORTI_TOKEN_SYNC,32100,LOG_ID_FORTI_TOKEN_SYNC,FortiToken synchronized,Event,system,Warning,7.2.13
time,Time,string,8,32100 - LOG_ID_FORTI_TOKEN_SYNC,32100,LOG_ID_FORTI_TOKEN_SYNC,FortiToken synchronized,Event,system,Warning,7.2.13
date,Date,string,10,32100 - LOG_ID_FORTI_TOKEN_SYNC,32100,LOG_ID_FORTI_TOKEN_SYNC,FortiToken synchronized,Event,system,Warning,7.2.13
