Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
field,NTP date-time field,string,32,32146 - LOG_ID_TIME_PTP_SETTING_CHG,32146,LOG_ID_TIME_PTP_SETTING_CHG,Global time setting changed by PTP,Event,system,Notice,7.2.13
msg,Log Message,string,4096,32146 - LOG_ID_TIME_PTP_SETTING_CHG,32146,LOG_ID_TIME_PTP_SETTING_CHG,Global time setting changed by PTP,Event,system,Notice,7.2.13
logdesc,Log Description,string,4096,32146 - LOG_ID_TIME_PTP_SETTING_CHG,32146,LOG_ID_TIME_PTP_SETTING_CHG,Global time setting changed by PTP,Event,system,Notice,7.2.13
tz,Time zone,string,5,32146 - LOG_ID_TIME_PTP_SETTING_CHG,32146,LOG_ID_TIME_PTP_SETTING_CHG,Global time setting changed by PTP,Event,system,Notice,7.2.13
eventtime,Event time,uint64,20,32146 - LOG_ID_TIME_PTP_SETTING_CHG,32146,LOG_ID_TIME_PTP_SETTING_CHG,Global time setting changed by PTP,Event,system,Notice,7.2.13
vd,Virtual Domain Name,string,32,32146 - LOG_ID_TIME_PTP_SETTING_CHG,32146,LOG_ID_TIME_PTP_SETTING_CHG,Global time setting changed by PTP,Event,system,Notice,7.2.13
devid,Device ID,string,16,32146 - LOG_ID_TIME_PTP_SETTING_CHG,32146,LOG_ID_TIME_PTP_SETTING_CHG,Global time setting changed by PTP,Event,system,Notice,7.2.13
level,Log Level,string,11,32146 - LOG_ID_TIME_PTP_SETTING_CHG,32146,LOG_ID_TIME_PTP_SETTING_CHG,Global time setting changed by PTP,Event,system,Notice,7.2.13
subtype,Log Subtype,string,20,32146 - LOG_ID_TIME_PTP_SETTING_CHG,32146,LOG_ID_TIME_PTP_SETTING_CHG,Global time setting changed by PTP,Event,system,Notice,7.2.13
type,Log Type,string,16,32146 - LOG_ID_TIME_PTP_SETTING_CHG,32146,LOG_ID_TIME_PTP_SETTING_CHG,Global time setting changed by PTP,Event,system,Notice,7.2.13
logid,Log ID,string,10,32146 - LOG_ID_TIME_PTP_SETTING_CHG,32146,LOG_ID_TIME_PTP_SETTING_CHG,Global time setting changed by PTP,Event,system,Notice,7.2.13
time,Time,string,8,32146 - LOG_ID_TIME_PTP_SETTING_CHG,32146,LOG_ID_TIME_PTP_SETTING_CHG,Global time setting changed by PTP,Event,system,Notice,7.2.13
date,Date,string,10,32146 - LOG_ID_TIME_PTP_SETTING_CHG,32146,LOG_ID_TIME_PTP_SETTING_CHG,Global time setting changed by PTP,Event,system,Notice,7.2.13
