Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
group,User group Name,string,512,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
user,User name of authenticated user,string,256,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
tunnelip,IPsec VPN tunnel IP address,ip,39,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
remip,IPsec VPN remote gateway IP address,ip,39,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
tunneltype,IPsec VPN tunnel type,string,64,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
tunnelid,IPsec VPN tunnel ID,uint32,10,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
action,Policy Action,string,65,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
logdesc,Log Description,string,4096,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
tz,Time zone,string,5,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
eventtime,Event time,uint64,20,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
vd,Virtual Domain Name,string,32,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
devid,Device ID,string,16,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
level,Log Level,string,11,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
subtype,Log Subtype,string,20,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
type,Log Type,string,16,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
logid,Log ID,string,10,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
time,Time,string,8,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
date,Date,string,10,23101 - LOG_ID_IPSEC_TUNNEL_UP,23101,LOG_ID_IPSEC_TUNNEL_UP,IPsec VPN tunnel up,Event,vpn,Information,7.2.13
