Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
intf,Interface,string,16,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
sn,Serial Number,string,64,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
msg,Log Message,string,4096,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
fctuid,FortiClient UID,string,32,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
ip,Source IP,ip,39,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
user,User name of authenticated user,string,256,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
logdesc,Log Description,string,4096,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
tz,Time zone,string,5,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
eventtime,Event time,uint64,20,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
vd,Virtual Domain Name,string,32,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
devid,Device ID,string,16,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
level,Log Level,string,11,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
subtype,Log Subtype,string,20,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
type,Log Type,string,16,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
logid,Log ID,string,10,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
time,Time,string,8,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
date,Date,string,10,45125 - LOG_ID_EC_VPND_DISCONNECT,45125,LOG_ID_EC_VPND_DISCONNECT,FortiClient VPN disconnected,Event,endpoint,Warning,7.2.13
