Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
time,Time,string,8,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
logid,Log ID,string,10,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
type,Log Type,string,16,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
subtype,Log Subtype,string,20,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
level,Log Level,string,11,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
devid,Device ID,string,16,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
vd,Virtual Domain Name,string,32,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
eventtime,Event time,uint64,20,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
tz,Time zone,string,5,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
logdesc,Log Description,string,4096,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
action,Policy Action,string,65,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
msg,Log Message,string,4096,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
sn,Serial Number,string,64,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
ap,Access Point,string,36,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
profile,Profile Name,string,64,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
ip,,ip,39,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
meshmode,Mesh mode,string,19,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
snmeshparent,SN of the mesh parent,string,36,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
reason,Reason,string,256,43552 - LOG_ID_EVENT_WIRELESS_WTP_LEAVE,43552,LOG_ID_EVENT_WIRELESS_WTP_LEAVE,Physical AP leave,Event,wireless,Notice,7.4.2
