Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
time,Time,string,8,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
logid,Log ID,string,10,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
type,Log Type,string,16,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
subtype,Log Subtype,string,20,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
level,Log Level,string,11,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
devid,Device ID,string,16,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
vd,Virtual Domain Name,string,32,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
eventtime,Event time,uint64,20,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
tz,Time zone,string,5,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
logdesc,Log Description,string,4096,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
msg,Log Message,string,4096,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
vcluster,Virtual cluster,uint32,10,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
sn,Serial Number,string,64,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
ha_group,HA Group Number - can be 0 - 255,uint16,4,37893 - MESGID_VC_DETECT_MEMB_DEAD,37893,MESGID_VC_DETECT_MEMB_DEAD,Virtual cluster member dead,Event,ha,Critical,7.4.2
