Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,22952 - LOG_ID_FDS_LOGIN_FAIL,22952,LOG_ID_FDS_LOGIN_FAIL,FortiCloud activation failed,Event,system,Warning,7.2.1
time,Time,string,8,22952 - LOG_ID_FDS_LOGIN_FAIL,22952,LOG_ID_FDS_LOGIN_FAIL,FortiCloud activation failed,Event,system,Warning,7.2.1
logid,Log ID,string,10,22952 - LOG_ID_FDS_LOGIN_FAIL,22952,LOG_ID_FDS_LOGIN_FAIL,FortiCloud activation failed,Event,system,Warning,7.2.1
type,Log Type,string,16,22952 - LOG_ID_FDS_LOGIN_FAIL,22952,LOG_ID_FDS_LOGIN_FAIL,FortiCloud activation failed,Event,system,Warning,7.2.1
subtype,Log Subtype,string,20,22952 - LOG_ID_FDS_LOGIN_FAIL,22952,LOG_ID_FDS_LOGIN_FAIL,FortiCloud activation failed,Event,system,Warning,7.2.1
level,Log Level,string,11,22952 - LOG_ID_FDS_LOGIN_FAIL,22952,LOG_ID_FDS_LOGIN_FAIL,FortiCloud activation failed,Event,system,Warning,7.2.1
devid,Device ID,string,16,22952 - LOG_ID_FDS_LOGIN_FAIL,22952,LOG_ID_FDS_LOGIN_FAIL,FortiCloud activation failed,Event,system,Warning,7.2.1
vd,Virtual Domain Name,string,32,22952 - LOG_ID_FDS_LOGIN_FAIL,22952,LOG_ID_FDS_LOGIN_FAIL,FortiCloud activation failed,Event,system,Warning,7.2.1
eventtime,Event time,uint64,20,22952 - LOG_ID_FDS_LOGIN_FAIL,22952,LOG_ID_FDS_LOGIN_FAIL,FortiCloud activation failed,Event,system,Warning,7.2.1
tz,Time zone,string,5,22952 - LOG_ID_FDS_LOGIN_FAIL,22952,LOG_ID_FDS_LOGIN_FAIL,FortiCloud activation failed,Event,system,Warning,7.2.1
logdesc,Log Description,string,4096,22952 - LOG_ID_FDS_LOGIN_FAIL,22952,LOG_ID_FDS_LOGIN_FAIL,FortiCloud activation failed,Event,system,Warning,7.2.1
user,User name of authenticated user,string,256,22952 - LOG_ID_FDS_LOGIN_FAIL,22952,LOG_ID_FDS_LOGIN_FAIL,FortiCloud activation failed,Event,system,Warning,7.2.1
action,Policy Action,string,65,22952 - LOG_ID_FDS_LOGIN_FAIL,22952,LOG_ID_FDS_LOGIN_FAIL,FortiCloud activation failed,Event,system,Warning,7.2.1
msg,Log Message,string,4096,22952 - LOG_ID_FDS_LOGIN_FAIL,22952,LOG_ID_FDS_LOGIN_FAIL,FortiCloud activation failed,Event,system,Warning,7.2.1
