Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
name,,string,128,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
sn,,string,64,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
msg,,string,4096,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
ui,,string,64,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
user,,string,256,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
logdesc,,string,4096,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
tz,,string,5,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
eventtime,,uint64,20,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
vd,,string,32,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
devid,,string,16,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
level,,string,11,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
subtype,,string,20,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
type,,string,16,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
logid,,string,10,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
time,,string,8,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
date,,string,10,22890 - LOG_ID_FORTILINKD,22890,LOG_ID_FORTILINKD,Switch-Controller Daemon Log (Notification),Event,switch-controller,Notice,7.2.12
