Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,40705 - LOG_ID_EVENT_SYS_CPU_USAGE,40705,LOG_ID_EVENT_SYS_CPU_USAGE,CPU usage statistics,Event,system,Notice,7.4.1
time,Time,string,8,40705 - LOG_ID_EVENT_SYS_CPU_USAGE,40705,LOG_ID_EVENT_SYS_CPU_USAGE,CPU usage statistics,Event,system,Notice,7.4.1
logid,Log ID,string,10,40705 - LOG_ID_EVENT_SYS_CPU_USAGE,40705,LOG_ID_EVENT_SYS_CPU_USAGE,CPU usage statistics,Event,system,Notice,7.4.1
type,Log Type,string,16,40705 - LOG_ID_EVENT_SYS_CPU_USAGE,40705,LOG_ID_EVENT_SYS_CPU_USAGE,CPU usage statistics,Event,system,Notice,7.4.1
subtype,Log Subtype,string,20,40705 - LOG_ID_EVENT_SYS_CPU_USAGE,40705,LOG_ID_EVENT_SYS_CPU_USAGE,CPU usage statistics,Event,system,Notice,7.4.1
level,Log Level,string,11,40705 - LOG_ID_EVENT_SYS_CPU_USAGE,40705,LOG_ID_EVENT_SYS_CPU_USAGE,CPU usage statistics,Event,system,Notice,7.4.1
devid,Device ID,string,16,40705 - LOG_ID_EVENT_SYS_CPU_USAGE,40705,LOG_ID_EVENT_SYS_CPU_USAGE,CPU usage statistics,Event,system,Notice,7.4.1
vd,Virtual Domain Name,string,32,40705 - LOG_ID_EVENT_SYS_CPU_USAGE,40705,LOG_ID_EVENT_SYS_CPU_USAGE,CPU usage statistics,Event,system,Notice,7.4.1
eventtime,Event time,uint64,20,40705 - LOG_ID_EVENT_SYS_CPU_USAGE,40705,LOG_ID_EVENT_SYS_CPU_USAGE,CPU usage statistics,Event,system,Notice,7.4.1
tz,Time zone,string,5,40705 - LOG_ID_EVENT_SYS_CPU_USAGE,40705,LOG_ID_EVENT_SYS_CPU_USAGE,CPU usage statistics,Event,system,Notice,7.4.1
logdesc,Log Description,string,4096,40705 - LOG_ID_EVENT_SYS_CPU_USAGE,40705,LOG_ID_EVENT_SYS_CPU_USAGE,CPU usage statistics,Event,system,Notice,7.4.1
action,Policy Action,string,65,40705 - LOG_ID_EVENT_SYS_CPU_USAGE,40705,LOG_ID_EVENT_SYS_CPU_USAGE,CPU usage statistics,Event,system,Notice,7.4.1
msg,Log Message,string,4096,40705 - LOG_ID_EVENT_SYS_CPU_USAGE,40705,LOG_ID_EVENT_SYS_CPU_USAGE,CPU usage statistics,Event,system,Notice,7.4.1
cpu,CPU Usage,uint8,3,40705 - LOG_ID_EVENT_SYS_CPU_USAGE,40705,LOG_ID_EVENT_SYS_CPU_USAGE,CPU usage statistics,Event,system,Notice,7.4.1
