Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,,string,10,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
time,,string,8,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
logid,,string,10,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
type,,string,16,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
subtype,,string,20,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
level,,string,11,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
devid,,string,16,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
vd,,string,32,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
eventtime,,uint64,20,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
tz,,string,5,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
logdesc,,string,4096,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
user,,string,256,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
ui,,string,64,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
msg,,string,4096,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
name,,string,128,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
sn,,string,64,32602 - LOG_ID_FGT_SWITCH_LOG_AUTH,32602,LOG_ID_FGT_SWITCH_LOG_AUTH,Switch-Controller authorized,Event,switch-controller,Information,7.4.2
