Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,20017 - LOG_ID_MODEM_FAIL_TO_OPEN,20017,LOG_ID_MODEM_FAIL_TO_OPEN,Modem failed to open,Event,system,Information,7.4.2
time,Time,string,8,20017 - LOG_ID_MODEM_FAIL_TO_OPEN,20017,LOG_ID_MODEM_FAIL_TO_OPEN,Modem failed to open,Event,system,Information,7.4.2
logid,Log ID,string,10,20017 - LOG_ID_MODEM_FAIL_TO_OPEN,20017,LOG_ID_MODEM_FAIL_TO_OPEN,Modem failed to open,Event,system,Information,7.4.2
type,Log Type,string,16,20017 - LOG_ID_MODEM_FAIL_TO_OPEN,20017,LOG_ID_MODEM_FAIL_TO_OPEN,Modem failed to open,Event,system,Information,7.4.2
subtype,Log Subtype,string,20,20017 - LOG_ID_MODEM_FAIL_TO_OPEN,20017,LOG_ID_MODEM_FAIL_TO_OPEN,Modem failed to open,Event,system,Information,7.4.2
level,Log Level,string,11,20017 - LOG_ID_MODEM_FAIL_TO_OPEN,20017,LOG_ID_MODEM_FAIL_TO_OPEN,Modem failed to open,Event,system,Information,7.4.2
devid,Device ID,string,16,20017 - LOG_ID_MODEM_FAIL_TO_OPEN,20017,LOG_ID_MODEM_FAIL_TO_OPEN,Modem failed to open,Event,system,Information,7.4.2
vd,Virtual Domain Name,string,32,20017 - LOG_ID_MODEM_FAIL_TO_OPEN,20017,LOG_ID_MODEM_FAIL_TO_OPEN,Modem failed to open,Event,system,Information,7.4.2
eventtime,Event time,uint64,20,20017 - LOG_ID_MODEM_FAIL_TO_OPEN,20017,LOG_ID_MODEM_FAIL_TO_OPEN,Modem failed to open,Event,system,Information,7.4.2
tz,Time zone,string,5,20017 - LOG_ID_MODEM_FAIL_TO_OPEN,20017,LOG_ID_MODEM_FAIL_TO_OPEN,Modem failed to open,Event,system,Information,7.4.2
logdesc,Log Description,string,4096,20017 - LOG_ID_MODEM_FAIL_TO_OPEN,20017,LOG_ID_MODEM_FAIL_TO_OPEN,Modem failed to open,Event,system,Information,7.4.2
msg,Log Message,string,4096,20017 - LOG_ID_MODEM_FAIL_TO_OPEN,20017,LOG_ID_MODEM_FAIL_TO_OPEN,Modem failed to open,Event,system,Information,7.4.2
