Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
reason,Reason,string,256,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
server,AD server FQDN or IP,string,64,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
srcip,Source IP,ip,39,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
msg,Log Message,string,4096,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
status,Status,string,23,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
action,Policy Action,string,65,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
user,User name of authenticated user,string,256,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
logdesc,Log Description,string,4096,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
tz,Time zone,string,5,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
eventtime,Event time,uint64,20,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
vd,Virtual Domain Name,string,32,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
devid,Device ID,string,16,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
level,Log Level,string,11,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
subtype,Log Subtype,string,20,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
type,Log Type,string,16,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
logid,Log ID,string,10,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
time,Time,string,8,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
date,Date,string,10,38031 - LOG_ID_FSSO_LOGON,38031,LOG_ID_FSSO_LOGON,FSSO logon successful,Event,user,Notice,7.4.8
