Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,35011 - LOG_ID_HA_SYNC_FAIL,35011,LOG_ID_HA_SYNC_FAIL,HA secondary synchronization failed,Event,ha,Error,7.2.5
time,Time,string,8,35011 - LOG_ID_HA_SYNC_FAIL,35011,LOG_ID_HA_SYNC_FAIL,HA secondary synchronization failed,Event,ha,Error,7.2.5
logid,Log ID,string,10,35011 - LOG_ID_HA_SYNC_FAIL,35011,LOG_ID_HA_SYNC_FAIL,HA secondary synchronization failed,Event,ha,Error,7.2.5
type,Log Type,string,16,35011 - LOG_ID_HA_SYNC_FAIL,35011,LOG_ID_HA_SYNC_FAIL,HA secondary synchronization failed,Event,ha,Error,7.2.5
subtype,Log Subtype,string,20,35011 - LOG_ID_HA_SYNC_FAIL,35011,LOG_ID_HA_SYNC_FAIL,HA secondary synchronization failed,Event,ha,Error,7.2.5
level,Log Level,string,11,35011 - LOG_ID_HA_SYNC_FAIL,35011,LOG_ID_HA_SYNC_FAIL,HA secondary synchronization failed,Event,ha,Error,7.2.5
devid,Device ID,string,16,35011 - LOG_ID_HA_SYNC_FAIL,35011,LOG_ID_HA_SYNC_FAIL,HA secondary synchronization failed,Event,ha,Error,7.2.5
vd,Virtual Domain Name,string,32,35011 - LOG_ID_HA_SYNC_FAIL,35011,LOG_ID_HA_SYNC_FAIL,HA secondary synchronization failed,Event,ha,Error,7.2.5
eventtime,Event time,uint64,20,35011 - LOG_ID_HA_SYNC_FAIL,35011,LOG_ID_HA_SYNC_FAIL,HA secondary synchronization failed,Event,ha,Error,7.2.5
tz,Time zone,string,5,35011 - LOG_ID_HA_SYNC_FAIL,35011,LOG_ID_HA_SYNC_FAIL,HA secondary synchronization failed,Event,ha,Error,7.2.5
logdesc,Log Description,string,4096,35011 - LOG_ID_HA_SYNC_FAIL,35011,LOG_ID_HA_SYNC_FAIL,HA secondary synchronization failed,Event,ha,Error,7.2.5
msg,Log Message,string,4096,35011 - LOG_ID_HA_SYNC_FAIL,35011,LOG_ID_HA_SYNC_FAIL,HA secondary synchronization failed,Event,ha,Error,7.2.5
