Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
date,Date,string,10,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
time,Time,string,8,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
logid,Log ID,string,10,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
type,Log Type,string,16,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
subtype,Log Subtype,string,20,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
level,Log Level,string,11,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
devid,Device ID,string,16,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
vd,Virtual Domain Name,string,32,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
eventtime,Event time,uint64,20,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
tz,Time zone,string,5,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
logdesc,Log Description,string,4096,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
action,Policy Action,string,65,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
tunnelid,IPsec VPN tunnel ID,uint32,10,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
tunneltype,IPsec VPN tunnel type,string,64,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
remip,IPsec VPN remote gateway IP address,ip,39,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
user,User name of authenticated user,string,256,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
group,User group Name,string,512,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
msg,Log Message,string,4096,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
reason,Reason,string,256,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
dst_host,Destination Host,string,64,39950 - LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,39950,LOG_ID_EVENT_SSL_VPN_SESSION_TUNNEL_UNKNOWNTAG,SSL VPN unknown tag,Event,vpn,Information,7.2.8
