Log Field Name,Description,Data Type,Length,LOGID,Message_ID,Message_Description,Message_Meaning,Type,Category,Severity,Version
msg,Log Message,string,4096,32562 - LOG_ID_STORE_CONF_FAIL_SPACE,32562,LOG_ID_STORE_CONF_FAIL_SPACE,Store config failed - not enough flash space,Event,system,Critical,7.6.6
logdesc,Log Description,string,4096,32562 - LOG_ID_STORE_CONF_FAIL_SPACE,32562,LOG_ID_STORE_CONF_FAIL_SPACE,Store config failed - not enough flash space,Event,system,Critical,7.6.6
tz,Time zone,string,5,32562 - LOG_ID_STORE_CONF_FAIL_SPACE,32562,LOG_ID_STORE_CONF_FAIL_SPACE,Store config failed - not enough flash space,Event,system,Critical,7.6.6
eventtime,Event time,uint64,20,32562 - LOG_ID_STORE_CONF_FAIL_SPACE,32562,LOG_ID_STORE_CONF_FAIL_SPACE,Store config failed - not enough flash space,Event,system,Critical,7.6.6
vd,Virtual Domain Name,string,32,32562 - LOG_ID_STORE_CONF_FAIL_SPACE,32562,LOG_ID_STORE_CONF_FAIL_SPACE,Store config failed - not enough flash space,Event,system,Critical,7.6.6
devid,Device ID,string,16,32562 - LOG_ID_STORE_CONF_FAIL_SPACE,32562,LOG_ID_STORE_CONF_FAIL_SPACE,Store config failed - not enough flash space,Event,system,Critical,7.6.6
level,Log Level,string,11,32562 - LOG_ID_STORE_CONF_FAIL_SPACE,32562,LOG_ID_STORE_CONF_FAIL_SPACE,Store config failed - not enough flash space,Event,system,Critical,7.6.6
subtype,Log Subtype,string,20,32562 - LOG_ID_STORE_CONF_FAIL_SPACE,32562,LOG_ID_STORE_CONF_FAIL_SPACE,Store config failed - not enough flash space,Event,system,Critical,7.6.6
type,Log Type,string,16,32562 - LOG_ID_STORE_CONF_FAIL_SPACE,32562,LOG_ID_STORE_CONF_FAIL_SPACE,Store config failed - not enough flash space,Event,system,Critical,7.6.6
logid,Log ID,string,10,32562 - LOG_ID_STORE_CONF_FAIL_SPACE,32562,LOG_ID_STORE_CONF_FAIL_SPACE,Store config failed - not enough flash space,Event,system,Critical,7.6.6
time,Time,string,8,32562 - LOG_ID_STORE_CONF_FAIL_SPACE,32562,LOG_ID_STORE_CONF_FAIL_SPACE,Store config failed - not enough flash space,Event,system,Critical,7.6.6
date,Date,string,10,32562 - LOG_ID_STORE_CONF_FAIL_SPACE,32562,LOG_ID_STORE_CONF_FAIL_SPACE,Store config failed - not enough flash space,Event,system,Critical,7.6.6
